职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
钉钉-AI产品专家-AI客服,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P7,"你将深入企业服务核心场景，主导基于大模型的下一代智能客服产品的定义与落地。你的工作将利用LLM、Agent等前沿技术重构传统客服体系，打造懂业务、有温度、能解决复杂问题的AI服务专家。
1. 产品规划与定义： 负责AI客服体系（包括智能问答、坐席辅助、智能工单等多模块）的产品架构设计。结合LLM技术特性，定义产品路线图，重塑人机协作的服务流程。
2. 核心能力建设： 基于多模态、多轮对话、意图识别等技术，深入打磨知识构建、问答准确率及复杂任务执行能力，确保AI在垂直业务场景下的回复质量与可靠性。
3. 场景落地与解决方案： 深入洞察B端客户在售前咨询、售后服务、内部IT/HR支持等场景的痛点，将AI能力转化为可标准化的解决方案，推动产品在行业侧的规模化应用。
4. 数据驱动迭代： 建立完整的AI服务数据分析体系，通过Badcase分析、A/B测试及用户反馈，持续优化模型效果与交互体验。
5. 前沿探索与竞对分析： 持续跟踪国内外AI客服及大模型应用动态，分析竞品优劣势，探索Agent在服务领域的创新应用（如自动任务执行、情绪安抚），保持产品的行业领先性。","1. 经验要求： 3年以上互联网产品经验，其中至少1年以上AI/大模型相关产品经验。有智能客服、呼叫中心、CRM或企业级SaaS产品经验者优先。
2. 技术理解力： 对LLM、Prompt Engineering、Agent架构有扎实的理解，熟悉大模型在B端落地的边界与挑战，能与算法/研发团队进行高频、高效的技术对话。
3. 业务建模能力： 具备极强的逻辑思维与业务拆解能力，能将模糊的客户服务需求转化为结构化的产品功能与知识图谱，具备复杂任务流（Workflow）的设计经验。
4. 数据与体验意识： 熟悉人机交互设计原则，具备通过数据分析驱动产品迭代的方法论，对“准确性”和“幻觉率”有极高的敏感度。
5. 自驱与沟通： 具备强烈的技术好奇心与快速学习能力，拥有优秀的跨部门沟通协调能力，能在一个快速变化的赛道中以结果为导向推动项目落地。",1,王姝雅(零曦),,2026 - 01 - 08,2026 - 04 - 08,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601086ca036b8f28a4283b34a6b67cee36b99&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-区域运营-全国区域负责人,,阿里集团-钉钉,"中国-浙江-杭州,中国-上海-上海,中国-北京-北京,中国-广东-深圳,中国-湖北-武汉,中国-重庆-重庆",本科,三年以上,P7,"我们找这样的人
你是能从 0 到 1 搭建全国服务渠道体系的实战型 leader——既懂战略，又能打硬仗。你将带领一支“AI服务铁军”，通过直营+代理+ISV 多元模式，把钉钉的产品与 AI 能力深度落地到千万中小企业，推动“企业AI服务普惠”。

核心职责
- 搭体系：设计所负责区域的服务渠道战略与架构，建立可复制的拓展 SOP；
- 建团队：招募并培养城市经理/大区总等核心骨干，打造高绩效文化；
- 强运营：制定激励政策、监控渠道健康度，深入一线提升伙伴盈利能力；
- 促增长：对客户活跃度、商业转化负责，推动钉钉AI活跃渗透与本地化圈层企业运营落地。","1、本科以上学历，3 年以上 SaaS/企业服务渠道管理经验，至少 1 年全国或大区负责人经验；
2、有从 0 搭建或重组百人以上渠道团队的成功案例，并能提供可验证的业绩数据**（如渠道数、客户增长）；
3、精通渠道全链路：招募、培训、激励、绩效、冲突解决；
4、目标感强、执行力狠，能扛压带队突破天花板。

加分项
- 熟悉钉钉产品或阿里生态；
- 有中小企业市场深耕或圈层运营经验；
- 对 AI 在企业服务中的应用有思考和落地兴趣。",6,王姝雅(零曦),,2026 - 01 - 08,2026 - 04 - 08,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260108a06b1e03d5e9468fb1fcb54fd0676fdc&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-AI服务运营-杭州,,阿里集团-钉钉,中国-浙江-杭州,本科,一年以上,P6,"参与打造「AI客服」客服产品，教会客户用好钉钉
1、AI产品运营：负责钉钉「AI客服」产品的链路设计与运营，分析客户动线和使用场景，优化AI产品服务流程；协调跨部门资源，推动产品功能迭代和运营策略的实施。
2、AI内容运营：输出高质量的AI知识内容（场景/角色/行业的方案设计和AI知识内容包装），进行「AI客服」的知识运维和AI知识训练
3、增值服务场景运营：通过客户共创/平台数据分析等方式，挖掘客户需求场景，优化增值服务产品与对客运营，创造更多商业机会。","* 对AI技术有浓厚兴趣，愿意在AI服务领域深耕发展；
* 具备产品运营或数据分析相关经验，熟悉企业办公场景或AI技术优先；
* 学习能力强，具备良好的逻辑思维能力和数据分析能力，能够独立完成数据挖掘和分析；
* 具备优秀的沟通能力和团队协作精神，能够与跨部门团队高效配合；
* 积极主动，有责任心，乐于接受挑战，具备一定的商业思维和用户洞察力。

【加分项】
* 有AI产品、企业服务或To B产品运营/产品经理相关实习经验；
* 熟悉钉钉或其他企业办公软件的使用场景和功能；
* 对数据分析有实践经验，熟悉SQL、Python等工具；
* 具备一定的文案撰写能力或内容包装经验。",1,王姝雅(零曦),,2026 - 01 - 08,2026 - 04 - 08,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260108ca78f6a96bbd412790d027dd5985cbf1&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-行业解决方案运营-杭州,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P7,"1. 行业客户调研与分析：积极参与客户共创，进行客户需求调研，挖掘客户在使用钉钉过程中的场景痛点及潜在需求；从客户共创和调研中，设计钉钉行业化解决方案，并进行推广验证，打造可复制推广的方案场景。
2. 善用AI能力策划与制作钉钉行业数字化方案标准化材料，对钉钉端内对外（例如抖音、B站、小红书等）客户进行宣传运营，并通过用户行为分析持续优化运营策略，提升效率与体验。
3、通过数据分析发现用户行为规律，结合数据指标（如触达率、打开率、完播率、转化率、满意度等），持续优化内容形式与推送策略，为产品优化和服务体验升级提供支持。","1. 本科及以上学历，具备良好的用户洞察与内容策划能力，能将复杂功能转化为易懂、易用的内容表达。
2. 数据分析能力：熟悉常见数据分析工具（如Python、SQL、BI工具等），能基于数据洞察提出业务改进建议（如客户活跃度提升策略）。
3. 运营能力：了解To B产品运营逻辑，有校园社群运营、活动策划经验者优先；有短视频脚本撰写、剪辑（如剪映、Premiere）或图文内容创作经验优先。
4. 加分项 ：有行业研究、商业分析类经历；熟悉钉钉、飞书、企业微信等协作工具。",1,王姝雅(零曦),,2026 - 01 - 08,2026 - 04 - 08,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260108b335a9c3d5f44f6881982880033fdacf&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-在线销售运营-杭州,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P7,"作为钉钉中小客户群体的服销一体的运营专家，你将负责中小客户的服务深化与商业转化闭环。通过电话服务 + 在线培训等方式主动触达，帮助客户用好钉钉，并在服务过程中识别客户的真实业务需求，在深度服务客户的过程中自然实现商业转化。
你将代表钉钉，设计标准、输出策略、赋能并管理生态服务团队，确保他们在统一方法论下高效执行，既保障客户体验，又达成可衡量的商业结果。因此，需要具备与服务商高效协作的经验，能够通过清晰的SLA、过程指标、复盘机制、激励设计、团队管理等，推动小二快速成长、供应商持续交付高质量结果。

核心职责：
● 制定SMB客户的服务与转化策略：基于客户分层（新客、活跃、沉默、高潜等），设计差异化的服务策略和小二执行SOP，通过清晰的电话服务、在线培训内容与商业化引导路径，明确各阶段目标（如功能激活、试用转化、复购增购）。
● 搭建可规模化复制的运营体系：输出标准化SOP、话术库、培训材料、质检标准与转化漏斗模型，支撑外包团队快速上手、一致执行、持续优化。
● 管理外包团队的日常运营与效能：制定并拆解团队KPI（如客户活跃提升率、商机识别率、转化率、NPS等）；监控关键过程指标（通话时长、培训参与率、质检得分等）；组织日常复盘、优秀案例萃取与能力培训；与外包服务商紧密协作，通过周会、数据看板、SLA考核等方式确保执行对齐与问题闭环。
● 服务商管理与协同机制建设：主导与外包公司的对接，明确服务范围、质量标准、响应时效与奖惩机制；推动供应商建立内部管理流程（如班组长机制、质检体系、人员梯队）；定期评估服务商表现，提出改进建议或资源调配方案。
● 反哺产品与商业化策略：沉淀客户反馈（如功能痛点、价格敏感点、竞品对比），为产品迭代、定价策略与市场方案提供输入。
● 严守客户体验与合规底线：确保所有服务动作以客户价值为先，杜绝过度营销，确保客户对钉钉的信任、维护钉钉品牌。","● 本科及以上学历，4年以上B端客户运营、客户成功、服务型销售、SMB商业化或呼叫中心运营管理经验；具备服务与商业的双重思维：既能提升客户满意度，又能有效设定商业化策略；
● 必须有管理上百人以上外包/坐席团队的实际经验，并具备与服务商直接对接、管理与协同的成功实践；了解如何通过SLA、KPI、质检机制、激励政策等工具有效管理服务商交付质量；
● 熟悉SaaS或企业服务产品的客户生命周期与商业化路径，了解中小企业数字化需求；
● 具备扎实的数据分析能力：能熟练使用Excel/BI工具分析转化漏斗、服务效能与客户行为；
● 有钉钉、企业微信、飞书、用友、金蝶、Salesforce等企业服务产品经验者优先。",1,王姝雅(零曦),,2026 - 01 - 08,2026 - 04 - 08,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601085498d929fb0742c88659f8adb13b74e3&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
淘天集团-高级商业数据分析师-杭州,,淘天集团-商业智能&决策支持,中国-浙江-杭州,本科,三年以上,P6,"1、负责具体对接业务的多维度指标体系梳理和搭建、数据产品建设和升级；
2、通过数据化指引，帮助业务达成目标，包含业务预测、合理目标拆解、机会点洞察、业绩监控、协同运营策略推进落地、商业变现等;
3、基于对业务理解，熟练运用多种分析手段和方法（如海量数据分析和挖掘手段、资料收集&分析、行业研究、竞争分析等），探索商业模式，发现商业机会，诊断业务问题、评估运营效果等，在战略、战术上提供决策支持和参考；
4、通过对业务数据的挖掘，对专项问题、指定方向的重点研究与分析，能书写并输出专项的商业分析报告。","1、 清晰的分析逻辑以及良好的业务洞察能力，能快速发现问题、拆解问题并定位到影响业务的关键点；
2、 数据处理能力强，可使用多种方式提取数据并进行分析，熟练掌握hive、SQL、excel等相关数据提取工具；
3、 良好的沟通能力和团队协作能力，能够有效地和业务方，数据技术团队沟通交流，具有跨团队的推进项目的能力，并且能够以分析师的视角给业务提供建议；
4、 具备数据运营与产品运营能力，针对业务问题，可以透过实验设计，并制定有效解决方案及衡量方法；
5、 良好的数据敏感度,能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模经验，能独立编写商业数据分析报告。",1,汪亮(如沁),,2026 - 01 - 07,2026 - 01 - 30,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260107d3c20f8ba03d426d9aa2ac3c39808222&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德-高级商务拓展专家-大云图,,阿里集团-高德,中国-北京-北京,本科,五年以上,P8,"1、 基于目前高德位置和3D建模服务能力及标准服务产品，负责与客户进行商务合作；

2、 梳理已有客户资源，客户需求的深挖，完成部门设定的营收及业务目标；

3、 通过对客户需求的准确把握，整合高德开放平台产品及服务资源向客户提供解决方案，完成测试、开发、洽谈、商业谈判及合同签署的链路流程。

4、 全程跟踪负责项目的执行落地，风险把控，解决项目执行过程中的问题

5、 深挖市场及客户需求，推进开放平台产品的迭代优化，推动产品商业化进程；","1、 具备互联网思维，能快速思变，具备良好的沟通、商务拓展及项目管理的专业能力；

2、 具备行业敏感性，对不同行业需求进行系统化梳理和客户痛点挖掘的能力；

3、 具有互联网ToB业务相关经验，对地图相关行业及产品有一定了解，有一定的商业化经验；

4、 有移动互联网应用相关行业、IOT行业、渠道管理、销售管理等从业经验以及客户资源优先；

5、 具有一定的抗压能力、学习能力、主动性",1,田媛媛,,2026 - 01 - 07,2026 - 03 - 30,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260107639a54cad29f45cf98249146279a9387&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-服务端架构师-钉钉AI表格、钉钉文档,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P7,"1、负责钉钉文档/多维表业务的服务端系统的架构及研发；

2、主导业务方梳理业务需求，提供系统架构设计方案， 并能根据方案推进研发工作开展；

3、对现存或未来系统进行宏观的思考，规划形成统一的框架、平台、体系或组件。","1、具有较强的业务抽象能力，擅长业务建模，乐于分享，团结同事、学习能力强，结果导向，抗压能力强；

2、拥有扎实的JAVA基础，熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制；

3、三年及其以上使用java进行web开发的经验，精通AOP、MVC等框架，熟悉Linux下的常用命令，熟悉MySQL；

4、熟悉常用设计模式，有大型分布式、高并发、高负载、高可用性系统设计开发经验；

5、具有较强的项目规划和决策能力，善于捕捉业务需求、架构设计中存在的问题，并给出有效的解决措施和方法；

6、须持有钉钉官方认证的《AI应用工程师》中高级证书；如尚未取得证书，欢迎通过钉钉学习平台考取认证。学习链接：dingtalk://dingtalkclient/action/open_mini_app?miniAppId=5000000000438545&page=pages%2Flesson%2Fdetail%2Findex%3Fid%3D2250

注：对AI有热情，熟悉大模型，有大模型工程架构/大模型算法相关经验者优先。",4,王姝雅(零曦),,2026 - 01 - 08,2026 - 04 - 08,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202512185e6ac8b1932e4664817aac06f473fdcd&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
高德-3D重建/生成算法工程师/专家-视觉团队,,阿里集团-高德,中国-北京-北京,硕士,二年以上,P6,"我们是谁？
作为中国领先的数字地图内容及导航服务提供商，高德地图日均服务数亿用户出行决策，每日处理超百亿级位置数据。视觉技术中心是驱动高德实现厘米级高精地图、实时三维重建、多模态感知等核心技术的引擎，持续突破自动驾驶、AR导航、智慧交通等领域的技术边界。
团队gihub主页：https://github.com/amap-cvlab

为何加入我们？
挑战世界级技术难题，追求智能上限
用AI驱动国民级APP的产品迭代和颠覆式创新

岗位职责：
1、负责研发空间智能核心技术，进行室内/室外/航拍/卫片等全场景高质量空间理解、重建与生成，包括但不限于基于图像、视频、点云、Mesh和3DGS等多种模态数据的空间智能基座与应用；
2、负责多模态大模型和视频生成大模型的预训练、微调等工作，包括但不限于数字人、生成式重建及空间生成等应用方向；
3、负责大规模多模态数据集的构建、清洗与管理，搭建高效数据流水线，保障算法训练与评估；
4、负责结合具体需求，抽象出关键算法进行研发，并持续保持及引领相关技术指标。","1、计算机视觉、图形学、人工智能等相关专业的硕士生/博士生，具备良好的英文写作能力；
2、熟悉三维重建、表征及渲染相关算法，熟悉大语言模型、多模态空间智能、生成式AIGC等相关算法；
3、有计算机图形学/视觉/机器学习等相关领域顶级学术成果者优先考虑；
4、具备良好的沟通能力和严谨的工作态度，善于解决实际问题。",3,贺莹(晓莹),,2025 - 12 - 22,2026 - 01 - 29,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20251222991e0ef0fd2945e1bd6678f2373d24b8&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉- 钉钉-CDS-交付中心-交付平台研发工程师,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P6,"我们正在寻找充满热情的研发工程师加入钉钉平台团队，参与构建下一代企业级协作平台的核心基础设施。你将有机会参与钉钉交付平台、集成开发工具以及私有化容器云等关键项目的研发工作，与优秀的团队一起打造服务亿万企业用户的产品。
● 参与钉钉交付平台的架构设计与核心功能开发，保障平台的高可用性和稳定性
● 负责钉钉集成开发工具的研发工作，提升开发者体验和集成效率
● 参与私有化轻量化容器云中间件底座的建设，支撑企业私有化部署场景
● 全面应用 AI Coding 技术，提升研发效率和代码质量
● 参与系统性能优化、故障排查和技术难题攻坚
● 参与重大项目的交付保障支持","基本要求
● 学历背景：本科及以上学历
● 工作经验：3年以内工作经验，欢迎优秀应届生
● 编程语言：精通 Go 、 Java、Python 中的至少 2 种语言，具备良好的编码规范和工程实践能力
● AI Coding：精通AI 辅助编程工具（如Cursor、Qoder、GitHub Copilot等），高效利用 AI 提升研发全流程效率。
技术能力
● 数据库：熟悉关系型数据库（MySQL/PostgreSQL）或 NoSQL 数据库（Redis/MongoDB），理解数据库设计原则和优化方法
● 网络知识：熟悉 TCP/IP、HTTP/HTTPS 协议，了解网络编程和分布式系统通信
● 安全意识：具备良好的安全编码意识，了解常见的安全漏洞（OWASP Top 10）及防护措施
软技能
● 具备良好的学习能力和问题解决能力
● 优秀的团队协作和沟通能力
● 对新技术保持好奇心，愿意持续学习和成长
加分项
● 有容器化（Docker/Kubernetes）或云原生相关开发经验
● 熟悉微服务架构和中间件（如 Dubbo、Spring Cloud 等）
● 有开源项目贡献经验或技术博客
● 了解 DevOps 流程和 CI/CD 实践
● 有 SaaS 或企业级应用开发经验",2,王姝雅(零曦),,2026 - 01 - 08,2026 - 04 - 08,招募中,https://headhunter.alibaba.com/index.html/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20251218ed24c25d8c504d56bccb14f52967a3a9&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
