职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
东部大区验收初级专家,塔斯汀,,上海,--,--,,"根据品牌要求，落实店铺施工相关的筹备，推进及交付等工作。
1、负责门店的新店开业筹备，店铺升级等工程类相关工作，确保店铺形象符合品牌调性及标准；
2、安排施工方根据店铺的实际情况及准确位置，对现场实施精确测量确保提交初稿图纸的准确性和真实性；
3、根据品牌施工及设计要求，监督并跟进第三方施工团队的施工进度及质量，确认各环节时间节点，保证施工团队及施工物料的按时到位，对现场工程质量进行验收，包括材料，装修工艺，保证工程质量符合品牌要求，确保交付结果：
4、协调品牌和第三方施工团队的工作细则，反馈并解决施工中出现的问题，确保信息传递的准确性和及时性；
5、审核部分现场施工相关费用，包括材料，人工等，实现工程验收的真实可靠；
6、上级交办的其他事务。","1、工程类相关专业大专及以上学历；
2、有不少于1年连锁餐饮门店装修管理经验；
3、了解工程建设相关的法律法规，有一定的识图能力
4、有责任心，执行力强，有较强的的服务意识和团队合作意识
5、沟通表达能力较强，能够耐心倾听，真实表达",,王晶,2026-02-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7611765199133182246
工艺材料标准专家,塔斯汀,,福州,--,--,,"职位职责
1.材料/工艺标准的制定和发布;
2.对接品牌职能部门的需求，并优化和调整;
3.对接工程公司，及时发布、培训更新标准;
4.接收外部新材料新工艺工法，不定期立项更新优化现有标准;
5.成品化/装配式施工方案的探索、推进、落地;
6.作为技术owner，对所有技术承接业务进行对口支持;
7.参与新厂商的技术类评估。","1.大专及以上学历，建筑学、土木工程、室内设计等专业优先;
2.在连锁餐饮工程工艺领域有至少五年的工作经验，其中至少有三年的材料和工艺标准管理的经验；
3.了解餐饮行业相关法律法规、标准、规范及安全生产方针，具有一定的组织协调能力、工程规划能力、项目施工管理能力，能熟练掌握CAD及其他相关软件；
4.工作积极主动，良好的团队合作精神，良好的职业道德，责任心强，严格遵守安全、质量、环保和健康的方针。",,王晶,2026-02-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7611760389768759598
机电支持专家,塔斯汀,,福州,--,--,,"职位职责
1.门店机电标准的制定和发布;
2.对接品牌职能部门的需求，并优化和调整;
3.对接工程公司，及时发布、培训更新标准 ;
4.作为技术owner，对所有技术承接业务进行对口支持;
5.参与新厂商的技术类评估。","任职要求
1.大专及以上学历，机电相关专业优先;
2.在连锁餐饮工程机电领域有至少五年的工作经验，其中至少有三年的材料和工艺标准管理的经验;
3.了解餐饮行业相关法律法规、标准、规范及安全生产方针，能熟练掌握CAD及其他相关软件;
4.具有一定的组织协调能力、工程规划能力、项目施工管理能力;
5.工作积极主动，具备良好的团队合作精神和执行力。",,王晶,2026-02-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7611760852571670847
中部大区工程高级经理,塔斯汀,,武汉,--,--,,"职位描述：
1.统筹管理中部大区验收人员的日常工作、人员培训、KPI制定和考核。
2.负责中部大区内所有建店项目的工期进度、质量和成本管理，确保项目的落地闭环。
3.预测、识别并解决项目流程和管理过程中潜在的不合规风险。
4.持续完善优化区域内工程管理标准的优化及迭代。
5.协调中部大区内各职能部门&业主&第三方厂商等需求，提升建店项目的满意度（加盟方&店长）。
6.统筹&把控大区内验收人员审批""""工程助手""""等系统工具的时效性&准确性。
7.负责大区内服务供应商日常管控，并进行定期评估以及淘汰需求提报。","职位要求：
1. 大专及以上学历，工程管理类相关专业优先；
2. 在连锁餐饮工程领域工作不少于5年，其中有至少3年同等管理岗位工作经验，有相关职业证书者优先；
3. 需要熟悉连锁餐饮工程的管理和运营，包括但不限于连锁餐饮工程、设施/设备资产管理、项目管理、标准制定等方面的专业知识和经验；
4. 需要具备个人领导力、决策能力和组织协调能力。",,王晶,2026-02-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7610703913872902419
Agent算法工程师- AI for Science,上海人工智能创新中心,,上海,--,--,,"探索智能体（Agent）在科研流程中的创新应用，参与构建基于多模态大模型的科学发现系统，推动科学研究从假设提出、实验设计到科学发现的全流程智能化。

1. 研究并实现前沿的 Agent 方案，支持科学假设生成、逻辑推理、分析预测与实验设计等关键科研环节；
2. 优化模型在多轮对话、Function Calling、复杂决策与推理任务中的稳定性与泛化能力，提升系统在实际科研场景中的表现；
3. 设计并构建科学发现相关的评测体系，制定合理的任务与指标，持续追踪并分析 Agent 的真实应用效果。","1. 计算机科学或相关专业背景，具备扎实的编程与算法基础，科研与工程能力兼备；
2. 熟悉以下任一方向并有相关项目经验或研究成果：智能体（Agent）、强化学习（RL）、大语言模型（LLM）、检索增强生成（RAG）等；
3. 具备良好的问题分析与解决能力，能在跨学科团队中高效协作。

【加分项】
- 是 Github 上高影响力开源项目的贡献者。",,陈薇兆,2026-02-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7597324789007780122
高性能编译工程师/青年研究员 (AIGC),上海人工智能创新中心,,上海,--,--,,"工作职责：
1、熟悉各类Pass设计与开发（计算图优化、融合、向量化、CodeGen），了解多面体优化，以及算子融合（Op Fusion）、自动调优（Auto-Tuning）等优化策略和工具链。
2、跟踪 LLVM、MLIR、Triton、TVM、XLA、TorchInductor、Polyhedral等技术和编译社区发展，优化编译性能
3、了解并行框架，以及扎实的算法与数据结构功底，熟悉计算机体系结构、CUDA等并行算子性能分析，对仿真并行算法和编程语言（Taichi、Warp）感兴趣，挖掘AIGC领域下图优化、后端代码生成、调度策略、指令优化、流水并行化 相关前沿工作。","1、计算机/电子/微电子/软件工程/自动化控制等相关专业，硕博或有意向读博的优先
2、熟练掌握Python，具有CUDA、triton、taichi、warp、OpenCL等至少一种并行计算开发经验的优先，参与深度学习模型前端、编译器、高性能优化、并行编程语言、运行时、Profiler相关工作
3、有3年以上C/C++ & Python 大型系统开发经验优先，Linux 下熟练运用 git、cmake、CI/CD，有较强的学习热情，渴望在AI计算编译领域深入探索，撰写技术文档和工作进展，促进知识共享和团队成长

加分项：
1、对 TVM、XLA、TensorRT、OpenAI Triton 任一框架有源码级理解或贡献；
2、熟悉 Polyhedral Model、Loop Tiling、Auto-Vectorization 等编译优化技术，参与过算子开发或图优化；
3、掌握GPU编程，擅长基于CUDA开发大规模并行计算架构者优先，了解GPGPU技术者格外优先。
职位要求
--",,陈薇兆,2026-02-26,,,,https://hire.feishu.cn/hunter/position?job_post_id=7570909507015002418
编译器研发工程师- 系统平台中心,上海人工智能创新中心,,上海,--,--,,"1. 负责 AI 编译器的设计、开发与优化，提升编译器性能，降低计算资源消耗，提高模型执行效率；
2. 参与 AI 编译器核心模块的架构设计与代码实现，解决编译器在实际应用中的技术难题；
3. 分析模型性能瓶颈，针对特定异构硬件平台（GPU/DSA）进行高性能计算加速和优化；
4. 对 AI 编译器进行性能测试和分析，提出性能改进方案，并负责方案的实施和验证；
5. 跟踪 AI 编译器领域的最新技术发展趋势，引入新技术、新方法，推动 AI 编译器的技术创新。","1. 熟悉cuda//triton编程，以及至少一种国产芯片的编程适配；
2. 深入理解编译器原理，熟悉编译流程，掌握至少一种主流编译器框架（如 Triton、TVM、MLIR等）的使用和开发；
3. 熟悉深度学习框架（如 TensorFlow、PyTorch 等）的原理和使用，了解深度学习模型的训练和推理过程；
4. 了解硬件架构（如 CPU、GPU、DSA 等）的基本原理，能够针对不同硬件平台进行性能优化；
5. 参与过大型编译器项目或在开源编译器项目中做出贡献的开发者优先考虑。",,陈薇兆,2026-02-26,,,,https://hire.feishu.cn/hunter/position?job_post_id=7581306844049492266
工程管理部负责人,塔斯汀,,福州,--,--,,储备,储备,,王晶,2026-02-26,,,,https://hire.feishu.cn/hunter/position?job_post_id=7611059501739133220
产品洞察高级专家,塔斯汀,,北京,--,--,,"1. 产品洞察与需求转化
1. 深耕餐饮或食品行业，研究食材特性、口味趋势、消费需求，搭建产品知识库，支撑产品创新。
2. 通过多渠道调研捕捉不同客群需求与偏好，精准提炼可落地的产品需求点。
3. 转化用户需求为产品要素，联动跨部门确保需求精准落地。
2. 产品规划与选品
1. 结合业务节奏，制定产品规划，搭建合理产品矩阵并明确迭代节奏。
2. 搭建选品机制，建立评估体系，精准判断新品方向，保障产品竞争力与品牌调性契合。
3. 追踪行业动态，提炼品类机会点，为产品创新提供依据。
3. 产品上市与效果追踪
1. 新品上市全流程中，提供产品洞察相关支撑，协同保障新品顺利落地。
2. 监测产品数据表现，复盘并提出优化思路，制定后续节奏，推动持续迭代提升。","1. 本科及以上学历，食品、营销相关专业优先；3-5年餐饮/快消产品洞察、选品经验，连锁品牌经验加分。
2. 热爱食品且有深入研究，精通食材与口味搭配，有0-1新品上市成功案例。
3. 对市场敏感，能建立选品模型并做出精准决策。
4. 擅长跨部门联动，具备较强沟通与项目管理能力。
5. 注重细节，具备产品品质与用户体验把控力。",,曾望美,2026-02-26,,,,https://hire.feishu.cn/hunter/position?job_post_id=7611080210486970678
【算法】具身智能机器人系统工程师/专家,上海识装信息科技有限公司,,上海,--,--,,"1、系统整体架构设计：
1) 负责具身智能系统（Embodied Intelligence）的整体架构设计，包括感知、决策和执行模块的集成;
2) 优化多模态感知与交互系统的设计，支持复杂环境中的实时感知与反馈;
2、多传感器融合：
1) 设计并实现多传感器（如摄像头、LiDAR等）数据融合架构，支持高精度场景感知、动作执行;
2) 推动传感器数据的流式处理与实时同步，解决高延迟和带宽限制问题;
3、具身 Al 算法优化：
1) 支持具身AI 在机器人设备中的应用，优化强化学习、行为树、运动控制等算法的性能和鲁棒性;
2) 与算法团队合作，设计高效的训练与推理架构，提升具身智能在复杂任务场景中的适应性;
4、分布式与边缘计算设计：
1) 规划并实现分布式计算与边缘计算架构，优化资源调度与计算效率，支持具身智能系统在多设备协作中的部署;
2) 设计本地化的决策系统，与云端的全局规划系统协同工作;
5、通信与实时控制：
1) 设计并实现低延迟、高可靠性的通信架构，支持机器人与无人机设备的远程协作与实时控制;
2) 推动基于 ROS、DDS 等中间件的通信协议优化;
6、业务场景落地：
1) 深入分析业务需求，推动具身智能在公司业务各场景的落地应用;
2) 解决具身智能系统在动态环境中的场景感知、动作生成等关键技术问题;
7、团队协作与技术文档：
1) 与算法、前后端团队密切合作，确保系统架构方案的高效实现;
2) 编写技术文档，指导开发团队成员并解决架构相关的疑难问题;","1、本科及以上学历，计算机科学、自动化、机器人学或相关专业，5年以上工作经验，具备具身智能系统的架构设计经验;
2、熟悉具身智能领域的核心算法与框架，如强化学习、模仿学习等;
3、熟练掌握多模态感知与传感器融合技术，具有实时处理与优化经验;
4、熟悉分布式计算、边缘计算架构设计，具有高并发场景下的优化经验;
5、精通 C++、Python 等编程语言，熟练掌握ROS、Gazebo 或类似机器人开发框架;
6、具备优秀的代码优化和工程实践能力;
7、有具身智能机器人系统0～1开发经验;
8、熟悉运动规划、路径优化及复杂场景下的控制策略设计;
9、深刻理解 TCP/IP、DDS、ROS2 等通信协议，具备优化具身智能系统通信的能力；
10、具有设计低延迟、高可用架构的经验。",,丫丫(yaya),2026-02-25,,,,https://hire.feishu.cn/hunter/position?job_post_id=7610744675808364810
集团战略专家,值得买科技,,北京,本科及以上,5-7 年,,"1、负责集团的前瞻性战略研究，需要及时洞察外部商业环境和新技术应用的趋势，并分析与集团战略的结合点，交付发展建议；
2、深入理解集团业务布局，分析业务现状、竞争环境和发展趋势，输出洞察和业务建议；
3、承接来自集团管理层的定向课题分析；
4、为创新业务或业务升级转型提供合理性和可行性分析。","1、985/211和QS50的本科及以上学历；
2、具有5年以上头部互联网或咨询公司的战略分析或战略规划经历，有大型企业或复杂业务的战略分析和规划经验优先；
3、具备卓越的逻辑思维能力和认知理解能力，思维严谨、结构性强；
4、有非常强的快速学习能力，对新事物有足够的好奇心。

【公司介绍】北京值得买科技股份有限公司是一家AI与内容驱动的数字消费服务集团，2011年成立于北京， 2019年登陆深交所上市。 公司已深入布局消费内容、智能营销与消费数据三大业务板块。旗下有app：什么值得买。

【福利】上市公司、六险一金、午餐补贴、租房优惠、弹性办公早十晚七、健身房/瑜伽室/舞蹈室、MAC苹果电脑、人体工学座椅、可升降办公桌、胶囊午休室、交通补贴和晚餐券、超多品牌内购活动

温馨提示：部门筛选简历通过的话，hr会进行电话或短信或邮件邀约面试，辛苦留意哦；同时部门筛选简历也需要一定的时间，感谢理解～",,乔蕾,2026-02-25,,,,https://hire.feishu.cn/hunter/position?job_post_id=7610706053428545834
策略运营高级专家,塔斯汀,,北京,--,--,,"1、渠道增长方案制定：根据目标匹配资源制定对应渠道运营优化计划
2、市场分析能力：能够把握市场竞争情况，制定线上销售方案和渠道发展规划。
3、货盘把控：通过货盘、推广营销内容、节奏打法结合平台资源在保障毛利健康的情况完成公司制定的业绩目标
4、数据分析：利用销售数据优化策略，提升效率。
5、跨部门协作：与上下游部门保持密切沟通，确保渠道正常运转。
6、风险控制：识别并应对线上运营风险，确保合规","1、具备5年以上平台产品运营或大型连锁品牌渠道增长相关工作经验，具备增长、数据思维；
2、有极强的目标感及结果导向思维，具备数据驱动运营，深入分析能力，有足够强的抗压能力；
3、善于观察和总结，对数据敏感，善于发现和挖掘数据价值；有严密的逻辑思维能力，注重过程和结果；",,罗荣华,2026-02-25,,,,https://hire.feishu.cn/hunter/position?job_post_id=7610637430080751913
营销策划高级专家,塔斯汀,,北京,--,--,,"1. 创意营销策划
- 深入研究餐饮市场动态、消费者需求和竞争对手情况，挖掘潜在的营销机会，为餐饮品牌制定具有创新性和差异化的年度营销战略及阶段性营销策划方案。
- 策划并执行各类线上线下营销活动，包括但不限于节日营销、场景营销、城市营销、IP联名营销等，通过独特的创意概念和活动形式，吸引目标客户群体的关注，提高品牌参与度和客户忠诚度。
- 结合社交媒体、内容营销、事件营销等多种营销手段，打造具有话题性和传播力的品牌故事和营销内容，提升品牌形象和品牌价值。
2. 方案制定与执行
- 负责营销策划方案的详细制定，包括活动目标、策略规划、预算编制、时间安排、执行流程等，确保方案的可行性和可操作性。
- 协调各团队，推动营销创意落地，保障活动的顺利实施，及时解决执行过程中出现的问题和风险。
- 对创意内容进行全程跟踪和监控，收集和分析相关数据指标（如曝光量、参与度、转化率等），评估活动效果，根据数据分析结果及时调整优化营销策略和活动方案，确保营销目标的达成。
3. 餐饮品牌营销经验运用
- 深入了解餐饮行业的消费趋势和消费者行为特点，制定针对性的营销策略，满足不同客户群体的需求，提高品牌的市场适应性和竞争力。","1. 教育背景
- 本科及以上学历，市场营销、广告学、传播学、工商管理等相关专业优先
2. 工作经验
- 具有5年以上营销策划工作经验，其中至少3年以上餐饮品牌营销策划经验，有成功的餐饮品牌营销案例（包括IP联名案例）者优先
- 熟悉餐饮行业的市场环境、竞争格局和营销模式
- 有网感、创意能力突出，不自我设限
3. 技能要求
- 具备出色的创意构思能力和文案撰写能力，能够撰写吸引人的营销方案和宣传文案，具备良好的审美能力和视觉表达能力
- 熟练掌握各类营销工具和渠道，包括社交媒体平台、搜索引擎营销、内容营销、线下活动策划等，具备数据分析能力，能够运用数据驱动营销决策
- 具备优秀的项目管理能力和组织协调能力，能够有效地领导和协调跨部门团队，确保项目按时、高质量完成
- 具备良好的沟通能力和团队合作精神，能够与不同背景的人员进行有效的沟通和协作，具备较强的抗压能力和应变能力，能够在快节奏的工作环境中应对各种挑战
4. 其他要求
- 对餐饮行业充满热情，关注行业动态和发展趋势，具备敏锐的市场洞察力和创新精神
- 有较强的学习能力和自我驱动力，能够不断学习和掌握新的营销理念和方法，提升自身的专业素养和业务能力",,曾望美,2026-02-25,,,,https://hire.feishu.cn/hunter/position?job_post_id=7610633339817838902
食品安全经理-上海/深圳,塔斯汀,,上海,--,--,,"工作职责：
1.对总部稽核问题进行原因分析并整改落地；
2.通过数据、指标的跟踪、分析，负责上请下达沟通，执行、完成食安落地计划；
3.第一时间上报政府监督部门的检查信息；
4.区域内消杀数据的收集、分析,及整改落地执行；服务商的管理
5.对区域内的仓配物料进行稽核,并提供报告；
6.对区域内的门店按总部标准进行稽核；
7.对区域内的督导、店长进行培训；
8.对区域门店提出的物料异常进行判定；
9.协助总部食安、GR部门处理好客诉处理工作；
10.协助门店处理好客诉,提供专业的解答；","任职资格：
1.食品安全专业或相关专业本科以上学历；3年以上管理经验，以及2年以上餐饮行业工作经验；
2.熟悉餐厅运营管理模式和工作流程；
3.对餐厅食品安全管理有丰富经验；
4.良好的团队管理领导力及沟通能力；
5.优秀的分析能力、预判能力、谈判能力以及冲突管理能力；
6.责任心强，良好的压力管理。",,杨芳,2026-02-25,,,,https://hire.feishu.cn/hunter/position?job_post_id=7610639767738288410
