职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
创新产品经理,小红书,,"上海市,北京市",本科及以上,不限,,"1、负责创新探索项目的产品规划与设计，包括功能设计、用户体验优化及迭代、内容安全审核策略等，提升用户活跃度和留存率。
2、与设计、开发、运营等团队紧密合作，制定项目计划，协调资源，跟踪项目进度，及时解决项目中的问题。
3、参与项目增长目标的执行，通过数据分析和用户行为研究，提出和配合实施落地。
4、主导增长活动的策划与执行，提出创意想法，设计活动玩法并推动落地，确保活动目标的达成。","1、3年以上C端产品经理经验，有工具或内容类产品经验者优先。
2、具备优秀的产品设计能力，熟悉用户需求分析、功能设计和用户体验优化。
3、对数据敏感，具备较强的数据分析能力，能够通过数据驱动产品决策。
4、出色的跨团队协作能力，能够高效推动项目落地并达成目标。
5、有活动策划设计经验，能够独立完成从需求分析到产品落地的全流程工作。",1,马明月,,,,,https://hunter.xiaohongshu.com/position-detail/16152
AIOps研发工程师-基础技术,小红书,,"上海市,杭州市",本科及以上,不限,,"负责打造业界一流的 AIOps 智能运维平台，提升系统和业务的稳定性与可用性。
基于Metric、Log、Trace等海量可观测性数据，进行智能告警、根因分析、变更检测、容量评估等核心能力和平台的建设。
通过算法和工程相结合的手段，持续优化模型效果和系统性能，提升故障发现、定位、恢复的自动化效率。
洞察业界 AIOps 发展趋势，探索前沿算法和技术在运维场景的落地与应用。","本科及以上学历，计算机或相关专业，2年及以上后端开发或算法相关工作经验。
熟练掌握 Python 或 Java 其中一种开发语言，具备扎实的编程基础和良好的工程实践能力。
熟悉常见的机器学习算法（如分类、聚类、回归、决策树等），具备扎实的概率统计知识。
有AIOps相关领域经验者优先，如熟悉时序异常检测、预测、关联分析、根因定位等算法，并有实际落地经验。
熟悉云原生可观测性技术体系者优先，如对 Prometheus、ELK、OpenTelemetry、SkyWalking 等有实践经验。
具备优秀的分析和解决问题能力，善于沟通与团队协作，有强烈的责任心和技术热情，能够承受一定的工作压力。",若干,林宇,,,,,https://hunter.xiaohongshu.com/position-detail/18670
用户研究（AI方向）,小红书,,上海市,本科及以上,3-5年,,"1、负责AI方向用户体验与产品研究，包括但不限于C端用户心智挖掘、AI产品使用习惯研究、用户趋势研究等。对用户有深入理解，能选择合适的定性/定量方法，输出洞察；
2、独立开展用户研究项目全流程工作，包括但不限于需求判断与问题拆解、研究设计、用户招募与访谈、以及输出研究报告；
3、能够跨团队沟通，完成研究设计、数据解读及洞察；
4、长期积累内容研究洞察及方法沉淀。","1、2年以上互联网用研相关工作经验，对用户和移动端产品有深入理解，熟练掌握各式各样定性、定量等研究方法；
2、有市场研究经验，熟练掌握市场研究方法论；
3、性格开朗、主动性强、学习能力强、对AI方向有热情和好奇心；
4、善于深度思考问题，对专业领域的各项内容有深刻理解；
5、有较强的解决复杂问题的能力、结构化思考能力和分析能力；
6、如有过往案例或项目，可文档或链接随简历一起发送。",1,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/17900
用户研究专家-社区方向,小红书,,上海市,本科及以上,不限,,"1、围绕业务方向展开内容向研究，包括垂类消费需求、消费体验对比等。对内容和圈层人群有深入理解，能选择合适的定性/定量方法，输出洞察；
2、负责品牌市场类监测评估项目，包括品牌健康度调研、活动评估等；能够跨团队沟通，完成研究设计、数据解读及洞察；
3、长期积累内容研究洞察及方法沉淀；","1、3年以上互联网用研相关工作经验，对内容产品有深入理解，熟练掌握各式各样定性、定量等研究方法；有丰富的市场研究经验，熟练掌握市场研究方法论；
2、有内容、人群研究经验优先；
3、社会学、心理学、人类学、新闻学、传播学等相关专业背景；
4、 善于深度思考问题，对专业领域的各项内容有深刻理解；有较强的解决复杂问题的能力、结构化思考能力和分析能力；
5、如有过往案例或项目，可将文档或链接随简历一起发送。",3,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/10047
【热招】采购专家,小红书,,上海市,本科及以上,3-5年,,"1. 全链路管理：制定所负责品类采购策略，完成包括需求整合、寻源、商务谈判、合同签署、交付落地等在内的source to pay的全链路管理；
2. 成本管理：针对负责品类，定期分析行业市场变化及业务趋势，预测价格变化趋势，制定成本控制方案，并持续改进；
3. 供应商管理：完成供应商开发、结构布局、KPI及绩效评估、分级管理的供应商管理闭环；
4. 品类管理：沉淀并输出所负责品类的管理策略，通过提供整合解决方案及创新性建议，优化或创新采购模式和流程，反哺业务，提升业务竞争力。","1. 本科及以上学历，985及211重点院校优先；
2. 对采购相关工作是热爱，有好奇心，学习能力，和商务谈判能力，相较于经验我们更看重你的底色！
3 具备高度自驱力，有想法、爱学习、能落地，良好的团队合作精神；
4. 有良好的职业道德和素养，正直、诚信、有格局、有担当。",1,睿彤,,,,,https://hunter.xiaohongshu.com/position-detail/14710
【hi lab】大模型算法工程师-安全对齐,小红书,,"北京市,上海市",硕士及以上,3-5年,,"1、利用多种 alignment 技术，提升模型的内生安全能力
2、通过 Red Teaming 等机制，评估、发现多模态大模型潜在的安全问题及被恶意误用的风险；
3、通过 SFT、RLHF、对抗训练等方法，提升模型的对齐程度，使其能更好地被用于产品、服务人类；
4、探索 Agent 场景下模型具备执行代码、使用工具时，确保模型能忠实执行人类指令不被恶意使用的算法及系统策略；
5、与跨职能团队协作，以确保我们的产品符合最高安全标准；","1. 具备扎实的机器学习基础，能熟练使用至少一种深度学习框架（e.g. PyTorch、Jax、TensorFlow、MindSpore、PaddlePaddle）。
2. 对监督学习、强化学习、表示学习等机器学习方法有深入理解并具备相关的实践经验。
3. 在 NLP/CV/RL 等至少一个 AI 领域中有过深入的研究经历，或通过机器学习算法解决过复杂业务场景问题。
4. 具备卓越的实验分析与问题解决能力，有创新思维，能够良好沟通、与团队成员高效协作。

加分项：
1、对构建安全、普遍受益的 AGI 的使命感到兴奋，对人工智能安全有热情的优先；
2、具备 AI 安全的相关经验，特别是在 RLHF、对抗性训练、机器学习公平性、内容安全等领域的优先；
3、喜欢协作工作环境的团队合作者的优先；",1,张雅雯,,,,,https://hunter.xiaohongshu.com/position-detail/10586
创作者运营-生活记录,小红书,,"北京市,上海市",本科及以上,1-3年,,"1、负责泛生活潜力标杆作者孵化，为作者成长、内容质量负责
2、深度洞察垂类内容趋势和优质内容范式，通过优质选题、内容扶持、资源整合等，提升作者成长速度
3、深入泛生活圈层，通过外部视角为垂类作者赋能，包含行业合作、作者孵化和商业变现，提升作者影响力；","1、统招本科及以上学历，3年以上垂类内容运营/策划相关岗位经验，热爱生活者优先； 
2、熟悉主流的内容平台，有一定的作者运营能力，熟悉主流内容形式及玩法； 
3、具有良好的文案能力，内容敏感度高，善于打造话题； 
4、具备突破创新能力，快速学习与总结能力，项目管理能力，及良好的跨部门协同能力。",1,国秋桐,,,,,https://hunter.xiaohongshu.com/position-detail/18210
创作者运营-知识区,小红书,,"北京市,上海市",本科及以上,1-3年,,"工作职责
1、负责泛知识历史商业财经等垂类运营，对垂类创作者和内容质量、热度量级等负责；
2、了解行业趋势，制定具备小红书特色的选题活动并进行传播，提升在目标人群心智及行业影响力； 
3、基于热点和用户需求，整合内外部资源，策划特色话题活动，提升活动规模和影响力。","任职资格
1、统招本科及以上学历，3年以上垂类内容运营/策划相关岗位经验，了解商业经济领域爱好者、媒体经历优先； 
2、熟悉主流的内容平台，有一定的作者运营能力，熟悉主流内容形式及玩法； 
3、具有良好的文案能力，内容敏感度高，善于打造话题； 
4、具备突破创新能力，快速学习与总结能力，项目管理能力，及良好的跨部门协同能力。",1,国秋桐,,,,,https://hunter.xiaohongshu.com/position-detail/18211
科技创作者运营,小红书,,"深圳市,北京市,上海市",本科及以上,3-5年,,"1、负责科技垂类内容的创作者运营，结合小红书特色和用户需求，引入、发掘科技类创作者，打造小红书差异化的标杆创作者，带动创作者规模增长和活跃；
2、能够通过对行业趋势的观察和判断推动项目，带动视频投稿、视频消费等指标稳定增长；
3、围绕节点、热点策划活动，提升小红书科普垂类心智和影响力。","1、本科以上学历，有内容社区科技垂类运营经验，有行业资源者优先；
2、对AI等前沿技术感兴趣，有产品经理、运营、软件开发等经验者优先
3、有较强的行业敏感度和信息搜集能力，对前沿发展和行业信息有深度了解，对科技前景有明确的个人判断者优先。理工科专业背景优先；
4、对内容有坚持和判断，对科技有审美坚持，有个人好恶，能准确的阐述科技的内容美感者优先；
5、执行力与学习能力强，具备合作精神及跨部门协作能力，有大型项目策划和落地经验，能独自交付项目；对数据敏感者优先",1,国秋桐,,,,,https://hunter.xiaohongshu.com/position-detail/18604
二次元创作者运营,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责二次元垂类的创作者运营，为作者规模和标杆作者打造负责
2、能够结合平台需求与竞争优势，找到突破机会，打造创作者圈层心智，创造良好的创作氛围
3、了解圈内新趋势，能够结合热点打造破圈活动
4、通过运营数据分析，发现当前问题，实现消费规模持续增长","1、本科及以上学历，2年以上内容运营相关工作经验
2、热爱二次元，深度二次元爱好者，对于人群和文化有深刻洞察，能够发现社区特色机会和价值
3、有策略规划能力，为结果负责
4、责任心强，交付效率高，思维活跃，能够做到对工作积极主动
5、圈内人，对OC玩家心态、线上下场景都有深刻理解
6、自身有圈内影响力，有行业资源、大量玩家社群资源者优先",2,国秋桐,,,,,https://hunter.xiaohongshu.com/position-detail/18589
后端开发工程师-商品方向,小红书,,"上海市,杭州市",本科及以上,3-5年,,"1.负责电商商品业务核心能力的建设和迭代，包括商品供需理解/商机牵引、商品理解/场域提效、商品价格力、商品发布、类目中心、SPU等；
2.参与商品中心和库存中心架构升级，建设高性能、高稳定性和可扩展的电商底层能力，持续提升消费者交易体验；
3.用好AI持续提升商品运营效率和经营效果，构建包括AI发品在内的核心能力；
4.深入理解业务，与产品、算法紧密协作，发现业务机会点，并驱动落地。","1.本科及以上学历，计算机、软件相关专业背景，具备至少2年开发经验；
2.熟练掌握Java/Go/C++中的至少一种开发语言，具备优秀的编码和领域建模能力，有复杂业务系统研发经验；
3.有较强责任心与自驱力，具备良好的沟通和团队协作能力；
4. 有商品方向或大模型应用工作经验优先。",5,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/9968
后端开发工程师-电商开平/服务商体系/AI开放,小红书,,"上海市,北京市,杭州市",本科及以上,1-3年,,"1、负责小红书电商开放平台的0-1建设，包括但不限于电商黄金链路（供给、交易、营销、履约等）业务能力开放、AI能力开放、三方对接提效、数据安全等功能建设；
2、负责小红书服务商技术体系的0-1建设，包括但不限于服务商引入、获客、育商、运营、考核等功能建设；
3、负责小红书服务市场的0-1建设，包括但不限于推荐、交易、履约、结算、评价体系等功能建设；
4、参与系统架构升级和稳定性建设，通过技术手段持续提升开放平台对接效率和体验、服务商运营效率和服务市场撮合效率，同时保障大促（如 618、双 11）期间电商核心链路的稳定运行；
5、深入分析业务现状，挖掘业务痛点，持续打磨技术和业务能力，建设行业一流的电商开放生态，助力小红书电商GMV的快速增长。","1、本科及以上学历，计算机/软件开发相关专业，2年及以上服务端开发经验，精通JAVA/GO/C++等语言中的至少一种；
2、有复杂业务系统的建设经验、稳定性建设经验优先，熟悉高可用、高性能、高并发常见解决方案，熟悉常用存储和中间件的使用和性能优化；
3、具备责任心与自驱力，良好的沟通协作、应急响应与处理问题的能力，具有比较强的问题分析和处理能力；
4、有开放平台、服务商体系相关业务经验优先。",1,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/17905
后端开发工程师-商家经营,小红书,,上海市,本科及以上,3-5年,,"1、负责小红书商家经营牵引、商家工作台、商家经营工具（电商直播后台/工具、商品笔记管理工具）、电商数据、商家基础（账号、登陆、权限）的研发工作；
2、与产品紧密配合，深度参与小红书内容电商业务探索与建设，不断提升商家经营效率和体验，帮助商家扩大经营规模；
3、负责商家各核心系统的业务交付、架构升级和稳定性建设。
4、参与建设AI在商家经营场景下的应用落地，如AI经营诊断、电商直播智能助手等。","1、本科及以上学历，两年及以上工作经验，熟练掌握Java服务端开发技术栈，具备优秀的领域建模能力；
2、具有高度的责任心与自驱力，良好的沟通协作、应急响应与处理问题的能力；
3、对解决业务问题有较高热情，喜欢挑战，有AI应用经验或使用AI解决过实际问题；
4、具备商家经营、商家基础（账号、登陆、权限）、电商数据、直播后台的工作经验优先；",5,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/8449
后端开发工程师-广告业务平台,小红书,,"北京市,上海市",本科及以上,3-5年,,"岗位职责：
- 参与小红书商业平台后端系统设计和研发工作，业务方向包括销售平台、资金交易、伙伴平台、广告风控、账户资质等
- 与产品、运营、前端、测试、运维等多角色协同工作，包括业务理解，需求评审，方案沟通，系统维护等
- 运用领域驱动建模、后端开发、大数据开发等多种技术手段进行系统建设，保证产品功能交付的质量和效率
- 负责复杂业务系统架构、稳定性、成本、性能等方面的优化工作，保障线上服务运行稳定，资源使用合理","基本要求：
- 本科及以上学历，计算机相关专业及优秀院校毕业者优先
- 具备扎实的Java语言开发功底，良好的代码风格与习惯，对自身代码精益求精，追求优雅
- 熟悉Spring、MyBatis、Thrift等常用开发框架，掌握常见功能场景的框架应用最佳实践
- 熟悉MySQL、Redis、Kafka、ElasticSearch等常用中间件，掌握常见功能场景的中间件应用最佳实践
- 优秀的面向对象设计能力，有重构意识，不只满足于完成产品需求交付，更能抽象提炼出可复用的模块或组件，提升代码复用度
- 具备一定系统架构能力，能够关注系统的非功能性需求，例如性能、可用性、扩展性等方面，持续优化服务稳定性和迭代效率
- 良好的沟通、协作、学习能力，能快速融入团队，积极面对困难和挑战，协同其他角色一起达成目标",2,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/15218
后端开发工程师-闭环广告（千帆推广/AI推广/内循环）,小红书,,"北京市,上海市,杭州市",本科及以上,3-5年,,"1、负责电商闭环广告（千帆推广/乘风）系统能力的设计、研发及持续优化，包括广告管理、报表管理、创意优选等；
2、深入理解广告投前、投中、投后链路，参与产品创新，与算法、数仓、产品、运营等多角色紧密协作，持续提升商家投广效果和大盘广告收入；
3、参与建设AI在电商闭环广告场景上的应用，如投放智能诊断与优化、潜商潜品挖掘等；
4、参与解决海量广告数据分布式处理，攻克各种技术难题和挑战。","1、计算机相关专业，本科及以上学历， 2年以上工作经验，有过广告系统经历的优先；
2、熟练掌握Java/Go/C++中的至少一种开发语言，具备优秀的编码和领域建模能力，有复杂业务系统研发经验；
3、熟悉常用业务架构设计方法，具备良好的业务理解能力和系统设计能力；
4、责任心强，积极主动，有良好的沟通能力和团队合作能力；
5、对数据敏感，具备优秀的逻辑思维，对解决挑战性问题充满热情，善于分析和解决问题。",3,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/16867
后端开发工程师-电商千帆联盟（分销AI&商达撮合）,小红书,,上海市,本科及以上,3-5年,,"1. 负责千帆联盟核心系统（含分销商家管理、分销商品路径优化、商达撮合、佣金结算等模块）的技术架构设计、研发及持续演进。
2. 推动AI技术在千帆联盟业务场景（含分销托管、商达撮合等）的应用落地。
3. 深入理解千帆联盟核心业务逻辑（分销、达人/主播/买手生态、撮合、结算），协同产品经理规划业务蓝图与技术路线。
4. 对所负责系统模块进行持续设计与优化，提升扩展性与稳定性，协调跨职能协作，推动项目交付。","1. 本科及以上学历，计算机、软件工程及相关专业，2年以上后端研发经验。
2. 具备以下经验者优先：分销系统研发经验、达人/主播/买手平台研发经验。
3. 有较强的逻辑能力和学习能力，乐于面对挑战，具备团队合作精神，有一定的项目管理能力加分。
4. 具备扎实的计算机知识，熟悉分布式系统设计、性能服务设计，对常用中间件和存储有可靠的认知和选型判断。",3,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/16868
前端开发专家-蒲公英&买手,小红书,,"上海市,北京市",本科及以上,5-10年,,"工作职责
1、负责小红书蒲公英平台业务的前端研发，包括BK撮合（商单撮合）、买手（达人）成长，作为业务Partner参与到产品决策讨论；
2、参与创新业务场景探索，如基于AI探索新的撮合模式，带来业务新的增长点；
3、与产品协力设计和规划内容撮合和买手分销业务，通过技术迭代支撑业务目标的达成；关注线上产品的体验和质量并持续优化，为用户提供顺畅的产品链路；","任职资格
1、本科及以上学历，计算机、软件工程及相关专业，3-5年前端研发工作经验；
2、精通JavaScript、HTML、CSS等前端基础技能，熟悉W3C标准，了解常见的HTML5及CSS3特性；
3、熟练掌握Vue和React Native框架，对微前端、跨端技术有较深的理解和实践；
4、对前端应用性能优化有一定的研究和经验，能够编写高效、可维护的代码；
5、具备良好的稳定性意识与经验，熟悉稳定性相关工具使用、问题排查常规手段；
6、有较强的逻辑能力和学习能力，乐于面对挑战，具备团队合作精神，有AICoding相关经验加分；",1,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/14453
广告素材AIGC技术专家,小红书,,"北京市,上海市",本科及以上,3-5年,,"1. 图文一体化编辑器开发： 参与面向小红书风格的前端图文编辑器的设计与开发，融合AI能力，打造高效生产工具，提升素材制作效率与品质；
2. AIGC创意生成与调优： 探索并应用前沿AIGC技术，负责将图片/文本的理解、生成、优化等AIGC模型能力集成到广告业务流程中，打造千人千面的智能化创意；
3. 多模态理解与编辑能力建设： 负责利用大语言模型及多模态技术，构建对图片、文本等广告素材的深度理解、智能解构与内容编辑的核心算法能力；","学历与经验： 本科及以上学历，计算机、人工智能、电子信息等相关专业；
技术功底：
1. 本科及以上学历，计算机、人工智能、电子信息等相关专业；
2. 具备优秀的审美能力和创意嗅觉，对小红书等内容社区的视觉风格、文案调性有一定洞察；
3. 对广告效果营销有较好的理解，能从业务视角思考技术方案的价值；
4. 具备出色的问题分析与解决能力，良好的沟通协调能力和团队合作精神，对技术驱动创意充满热情；",1,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/17846
AI应用开发工程师-广告运营,小红书,,北京市,本科及以上,3-5年,,"- 参与小红书广告运营场景AI助手开发，利用AI技术帮助销售、代理商、运营提升客户服务能力，提升广告主服务效率和体验 
- 深入理解商业广告运营流程，完成智能体Multi Agent技术架构的设计和落地，通过多Agent协同处理复杂业务流程 
- 深度参与AI应用各流程节点的调优，包括但不限于提升RAG准召、意图识别优化、Multi Agent Planning优化、LLM训练等，将业界前沿AI技术应用到产品中 
- 深度参与相关复杂业务系统架构、稳定性、成本、性能等方面的优化工作，保障线上服务运行稳定，资源使用合理 
- 有数据驱动意识，通过科学的用户行为分析和广告投放数据分析为产品、技术迭代提供决策依据","- 本科及以上学历，计算机相关专业及优秀院校毕业者优先
- 具备扎实的Java语言开发功底，良好的代码风格与习惯，对自身代码精益求精，追求优雅，掌握Java语言生态常见功能场景的开发框架
- 熟悉LLM调优（训练、Prompt优化），有Agent或Multi Agent实际项目设计和开发经验
- 关注AI技术发展，对AI前沿技术具备较强的学习能力，持续推动技术架构演进
- 具备一定系统架构能力，能够关注系统的非功能性需求，例如性能、可用性、扩展性等方面，持续优化服务稳定性和迭代效率
- 良好的沟通、协作、学习能力，能快速融入团队，积极面对困难和挑战，协同其他角色一起达成目标",2,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/18106
前端开发工程师-广告投放,小红书,,上海市,本科及以上,5-10年,,"1、负责广告前端系统的开发和维护，确保系统的高性能和稳定性；
2、参与前端架构设计，优化现有系统的性能和可维护性；
3、持续关注前端技术发展趋势，引入新技术和工具，提升团队技术水平；
4、编写高质量的代码，进行代码审查，确保代码质量和团队代码规范；","1、本科及以上学历，计算机或相关专业，5年左右前端开发经验；
2、精通JavaScript、HTML、CSS等前端基础技能，熟悉W3C标准，了解常见的HTML5及CSS3特性；
3、熟练掌握Vue.js框架，了解其内部原理和最佳实践；
4、对产品有较高的敏感度，能够从用户体验的角度出发，提出改进建议；
5、具备良好的稳定性意识，能够确保系统的高可用性和稳定性；
6、有广告投放系统开发经验者优先；
7、有良好的沟通能力和团队合作精神和较好的自驱力，能够与产品经理、设计师、后端开发人员有效协作。",2,赵悦,,,,,https://hunter.xiaohongshu.com/position-detail/14444
活动运营,小红书,,"北京市,上海市",本科及以上,5-10年,,"1、独立负责社区音乐项目的策略、目标输出及落地，负责项目管理、执行全流程，打造有影响力的音乐垂类项目、建立小红书音乐差异化心智；
2、挖掘用户需求，结合数据和行业洞察，制定清晰目标，策划线上线下活动；
3、与数据、产研等多业务部门沟通合作，结合社区业务调性，不断挖掘社区音乐内容新趋势，输出具有影响力的案例。","1、5年内容平台/流媒体平台运营、项目管理经验，对用户需求、行业、内容有深度理解和洞察，对社区内容有判断力、对音乐行业有热情；
2、有丰富的项目经验，能独立完成活动策划和落地、能清晰制定业务目标，有产品运营、线下活动统筹经验者优先；
3、有音乐行业资源、音乐版权相关经验、歌手音乐人资源、内容制作供应商资源及合作经验者优先；
4、有好的内容sense，心态年轻开放、自驱、喜欢探索新事物；
5、有良好的沟通能力及团队协作能力、逻辑清晰、责任心强、一定的抗压能力。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/15494
