职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
高阶 沟通,小红书,,上海市,硕士及以上,10年以上,,/,/,1,谢静,,,,,https://hunter.xiaohongshu.com/position-detail/19128
后端开发工程师-创作发布,小红书,,"上海市,北京市",本科及以上,3-5年,,"1、负责小红书内容发布侧后端开发，方向包括但不限于：核心发布链路、创作工具、创作者服务等
2、基于对业务的理解，进行系统选型、设计、编码，为系统长期的稳定性及可维护性负责
3、设计合理的架构，保障数据一致性、稳定性、研发效率
4、参与开发人员codereview工作，并能从语言和框架层面提供性能优化、安全性建议","1、大学本科及以上学历，计算机相关专业，3年以上后端开发经验
2、扎实的计算机基础知识，较强的学习能力和逻辑推理能力
3、熟练使用Java，对线程安全有深刻理解和实践
4、掌握 MySQL、MongoDB、Redis、RocketMQ、Kafka、ElasticSearch等常用服务组件，有AI算法工程背景更佳
5、精通分布式系统的设计开发，对微服务拆分和服务治理（包括服务发现、配置管理、流量控制、日志监控、容错容灾等）有深入理解和实战经验
6、自驱力强，积极主动，能独立负责一块业务，具有良好的业务sense，和团队中各个角色进行高效的沟通协作，迅速推进问题解决",2,介佩玺,,,,,https://hunter.xiaohongshu.com/position-detail/16177
端侧音频工程师-语音采集 / 前处理 / 流式传输,小红书,,"北京市,上海市,广州市",本科及以上,3-5年,,"工作职责
1. 负责小红书端侧音频采集与前处理模块的设计与开发，解决启动耗时、首包延迟、音质一致性等问题
2. 负责端侧音频数据的实时/准实时流式传输方案设计，与后端、算法团队协作完成低延迟语音输入链路
3. 定位并解决复杂场景下的音频问题，如多 App 竞争音频焦点、系统限制、机型差异、异常场景恢复等","任职资格
4. 本科及以上学历，计算机、软件工程、电子工程、信号处理等相关专业
5. 熟练使用 C++，具备扎实的工程能力和良好的代码质量意识，熟悉音频基础概念与处理流程
6. 熟悉端侧 Native SDK 开发，深入理解 Android / iOS 音频采集机制，包括但不限于：
- Android：AudioRecord / AAudio / OpenSL ES / Audio Focus
- iOS：AVAudioSession / AudioUnit / Remote I/O
7. 有语音输入、录音、拍摄、直播、实时音频通信等相关项目经验者优先
8. 有音频前处理算法（AEC / NS / AGC / VAD 等）工程落地经验者优先
9. 熟悉音频流式传输（WebSocket / gRPC / 自定义协议等）或实时系统设计者优先
10. 具备良好的跨团队协作能力，能够与算法、后端、产品高效配合推进复杂问题落地",2,介佩玺,,,,,https://hunter.xiaohongshu.com/position-detail/19030
营销策划（标杆打造）,小红书,,"北京市,上海市",本科及以上,1-3年,,"1、找对的人，做好的策划：用敏锐的内容sense去挖掘那些有潜力成为爆款制造机的创作者；基于你对网络的敏感，提前判断什么话题、什么形式容易火，把想法变成具体有吸引力的内容。
2、把好内容推出去，让它火：不只做好内容就结束。你需要为那些重要的内容做传播计划，知道如何让更多人看到和讨论，最终打造成一个热门事件。
3、把事情落地做成：需要协调公司内外的各种资源，跟不同的团队和人合作，确保你策划的那些好玩、有趣的想法，能真的做出来，并且达到预期的传播效果。","1、你自己就是个“网上冲浪高手”：热爱好内容，天生就对热点和年轻人喜欢什么有感觉。
2、你有“内容嗅觉”和“传播脑子”：你不仅能精准挖掘当下的用户洞察，更能提前感觉到下一个热点可能是什么。并且你知道怎么把一个好点子，一步步变成能引爆全网的传播事件。
3、你懂平台和创作者：熟悉各平台创作者成长的路径和真实需求，了解创作者都在做什么，知道怎么和他们有效沟通、一起工作。
4、你动手做过 有经验：有1-3年与创作者打造相关的工作经验，独立负责过从策划到执行落地的传播项目。
5、你能搞定事情：责任心强，沟通清楚，能推动项目往前走，确保事情按时、高质量地完成。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/19099
数据引擎高阶,小红书,,"北京市,上海市,杭州市",本科及以上,不限,,湖仓+flink,/,1,吕静,,,,,https://hunter.xiaohongshu.com/position-detail/15851
【热招】交易法务BP,小红书,,"北京市,上海市",本科及以上,5-10年,,"1. 交易合规闭环：主导平台商户入驻、商品发布、交易履约、资金结算全链路合规设计，杜绝违规风险。
2. 规则体系搭建：制定平台规则（商户管理/促销活动/争议处理），推动技术系统化监控与执行。
3. 新业务合规架构：为业务模式设计合规框架，前置规避法律盲区。
4. 政策追踪：跟进法律政策监管动向，进行全面法律支持，开展专项调研，制定合规业务落地方案。","1. 法律硬核力：精通电商法、消费者权益保护法、广告法及网信办新规，持法律职业资格证。
2. 风险穿透力：精准识别交易链路高危点（如虚假促销、资质造假、资金池风险）。
3. 合同控制力：快速审核平台协议、商户合同、支付结算条款，平衡体验与合规。
4. 模式洞察力：深度理解交易业务运作逻辑（流量分发/商户分层/佣金体系/GMV驱动）。",2,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/16754
【热招】诉讼法务专家,小红书,,"上海市,北京市",本科及以上,3-5年,,"1. 案件管理： 独立负责或主导公司各类民商事诉讼、仲裁案件的全流程处理（诉前分析、策略制定、材料准备、出庭应诉、执行跟进）。
2. 纠纷解决： 高效处理平台用户、商家、合作伙伴间的重大、复杂法律纠纷，寻求最优解。
3. 法律研究： 深入追踪研究互联网领域（如电子商务、数据合规、内容治理、反垄断）的诉讼及监管裁判规则与动态。
4. 流程优化： 梳理和优化公司诉讼及应对监管调查的内部流程与协作机制。
5. 风险预警： 基于案件和判例分析，识别潜在重大法律风险，向业务和产品提出预防性建议。
6. 外部协作： 管理和协调外部律师资源，确保案件处理效率与质量，控制成本。","1. 教育背景： 法律专业本科及以上学历，通过国家统一法律职业资格考试。
2. 执业经验： 拥有3年及以上知名律所或大型互联网/高科技公司法务部专职处理复杂诉讼/仲裁/行政处罚案件的经验。
3. 案件类型： 深度参与过合同纠纷、侵权纠纷、不正当竞争、消费者权益保护、数据合规/个人信息保护相关案件处理。
4. 专业能力： 具备优秀的法律逻辑分析、法律文书撰写、法庭/听证辩论能力及独立办案能力。
5. 行业理解： 对互联网平台的业务模式、产品逻辑、核心法律风险点（如平台责任、UGC内容、数据安全）有深刻理解。
6. 沟通协作： 具备极强的沟通协调能力、抗压能力及跨部门协作精神。
7. 职业素养： 责任心强，具备良好的职业道德和保密意识。",2,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/11430
【热招】专利法务(海外方向),小红书,,"北京市,上海市",本科及以上,3-5年,,"1. 熟悉互联网及AI行业，基于管理和业务需要，结合行业专利及开源领域的风险研判，架构并完善海外的专利策略和专利布局工作；
2. 推进小红书海外专利的运营、收储和专利许可及风控工作；
3. 推进专利海外流程建设和海外专利合作伙伴管理；
4. 支持应对海外专利争议解决；
5. 完成其他与专利相关的工作事项。","1. 3年以上专利工作经验，对于专利全生命周期实务管理和价值实现有深刻洞察；
2. 律所或专利审查机关的专职工作经验，撰写过软件领域的专利申请，通过专利代理人资格考试；具有互联网/软件企业专利工作经验和/或通过法律职业资格考试者优先；
3. 熟悉专利法律和相关法规，具备优秀的技术理解能力、专利检索和分析能力，有美国或欧洲专利实务工作经验，具备美国或欧洲专利律师或专利代理师资质优先；
4. 流利的英语阅读能力，能够无碍地进行英文论文和英文专利的解读；
5. 思路清晰、表达严谨、具有较强的书面表达能力、人际沟通能力及项目管理能力；
6. 能够处理多线程工作，积极拥抱变化，踏实稳重、有主动学习和工作的积极精神。",2,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/18391
【热招】专利法务,小红书,,"北京市,上海市",本科及以上,5-10年,,"1. 熟悉互联网行业，基于管理和业务需要，结合行业专利及开源领域的风险研判，完善专利布局布局工作；
2. 推进小红书专利的运营、收储和专利许可及风控工作；
3. 协同技术团队进行高效专利挖掘，主导专利的申请；
4. 推进流程优化和中台建设、优化合作伙伴管理；
5. 应对专利争议解决；
6. 完成其他与专利相关的工作事项。","1. 5年以上专利工作经验，对于专利全生命周期实务管理和价值实现有深刻洞察；
2. 律所或专利审查机关的专职工作经验，撰写过软件领域的专利申请，通过专利代理人资格考试；具有互联网/软件企业专利工作经验和/或通过法律职业资格考试者优先；
3. 熟悉专利法律和相关法规，具备优秀的技术理解能力、专利检索和分析能力；
4. 思路清晰、表达严谨、具有较强的书面表达能力、人际沟通能力及项目管理能力；
5. 能够处理多线程工作，积极拥抱变化，踏实稳重、有主动学习和工作的积极精神。",1,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/18392
【热招】社区法务BP,小红书,,"北京市,上海市",本科及以上,3-5年,,"1. 业务支持：为社区内容生态、用户运营及产品迭代提供全流程法律解决方案。
2. 合规管理：主导制定社区内容安全、隐私保护、UGC版权等场景的合规策略与执行标准。
3. 风险防控：识别社区舆情、用户纠纷及政策变动衍生的法律风险，推动业务闭环整改。
4. 规则建设：设计社区治理规则体系（如用户协议、社区公约、创作者规范）并推动落地。","1. 业务洞察：能快速理解社区产品逻辑、用户生态及行业监管动态，预判合规缺口。
2. 协同能力：高效联动审核、运营、产品团队，推动法律诉求转化为业务动作。
3. 沟通能力：能用非法律语言向业务方解读复杂法规，并说服管理层采纳风控建议。
4. 创新解决：针对新型社区争议（如AI生成内容、虚拟资产）设计创新型合规路径。",2,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/18792
