职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,职位链接
重大任务项目经理人-项目经理人办公室,上海人工智能创新中心,,上海,--,--,,"岗位概述：
项目经理人的核心使命是在科学世界和产业世界之间架起桥梁，发现并推动具有战略突破潜力的创新项目，需要通过系统的价值发现、精准的团队评估、深度的项目共创，连接顶尖科学家、产业领袖和政策制定者，推动中国科技创新的战略突破。
岗位职责：
1. 战略级技术趋势研判与规划
1）主导AI for Science、大模型、具身智能等前沿技术的全球趋势分析，评估技术先进性、落地可执行性，制定技术战略路线。识别挑战既有共识、跨越学科边界的颠覆性创新机会；
2）深度参与实验室战略决策，结合业务需求与行业动态，输出技术投入优先级建议，支撑高层技术布局决策。
2. 技术生态构建与资源整合
1）在全国范围内发现、评估并筛选优秀科研团队，超越论文数量、获奖数量等指标，深入理解团队的真实研究能力和价值；建立和维护前沿领域的专家顾问网络，定期组织跨界研讨会；
2）通过科研专项、算力支持、基金投资等形式与高质量科研团队建立合作，并全程跟进项目里程碑管理，给予项目相关的技术和产业化的战略聚焦和资源支持，从概念到落地全程陪伴项目发展，确保高影响力成果产出。
3）在项目中后期，识别成果的产业转化机会，协调产学研合作，推动科研成果的实际应用。
3. 跨部门协同与创新机制沉淀
1）统筹内外部技术资源，主导跨部门协同项目，确保技术战略与业务目标的高度对齐。
2）从实践中总结项目管理的方法论，不断完善项目经理人的运作机制，参与创新政策建议。","任职要求：
1. 博士学历优先（特别优秀者可放宽到硕士），人工智能、计算机、物理、化学、材料、生物、医学等理工科专业优先；
2. 以下任一方向3年及以上工作经验优先：
1）科研背景：有学术研究或科技管理/咨询工作经历，特别是跨学科合作经验；
2）投资背景：从事早期项目评估、天使投资等，具备识别潜力项目的敏感度；
3）产业背景：在高科技企业从事R&D管理、战略规划、技术评估工作，理解技术应用场景；
4）项目管理背景：有复杂项目协调推进经验，理解项目管理实质。
3. 能够快速获取陌生领域核心知识，清晰表达复杂技术概念；
4. 具备系统性思维，能从复杂信息中抽象核心问题，善于结构化分析；
5. 谦虚、好奇，愿意从专家和实践中快速学习，乐于跨越舒适区，有推动科学进步的热情；
6. 诚实、负责，尊重科学伦理，拒绝学术不诚实。",,周炯,2026/2/4,https://hire.feishu.cn/hunter/position?job_post_id=7595875867050756403
多模态大模型青年研究员/算法工程师,上海人工智能创新中心,,上海,--,--,,"主要职责：
1.数据验证与调优：对每日新增的多模态训练数据进行验证、清洗和调优，确保其在模型训练中的高质量应用。
2.协作构建训练数据集：与数据工程师协同工作，迭代构建符合目标任务需求的多模态训练数据集，涵盖文本、图像、视频等模态。
3.前沿模型追踪与数据更新：紧跟最新多模态/语言大模型（如GPT-4V、Claude、Gemini等）的研究与发布，构建与其能力对齐的新型数据列表，并推动数据采集与处理。
4.评测基准设计与维护：设计、实现并持续维护多模态模型的评测基准，用于追踪模型训练效果，支持数据调优闭环。
5.跨团队沟通与文档撰写：与研究团队、数据团队保持紧密沟通，明确数据与评测需求，并编写相关流程与标准文档，促进团队协作。","1.编程与调试能力：精通Python，熟悉PyTorch或TensorFlow等主流框架，具备处理多模态数据（图像、文本、音频等）的经验。
2.多模态大模型经验：了解或具备使用多模态大模型进行训练与微调的实际经验者优先。
3.数据敏感性与评测意识：对数据质量敏感，具备构建和调优评测任务的能力，能从数据角度理解并影响模型表现。
4.信息跟踪能力：具有较强的前沿信息获取能力，乐于探索新模型、新数据范式，快速理解并应用于现有流程。
5.团队协作与表达能力：具备良好的沟通能力和团队合作精神，能与数据、算法、产品等不同角色协同推动项目进展。
职位要求
--",,孟慧,2026/2/3,https://hire.feishu.cn/hunter/position?job_post_id=7602595354663749939
强化学习智能体环境开发工程师,上海人工智能创新中心,,上海,--,--,,"1、设计、构建和维护面向强化学习的智能体环境基础设施，支撑大规模模型训推评；
2、负责自动化CI/CD流水线的构建和优化，确保代码质量和高效交付；
3、设计并实施基于容器化的可大规模伸缩的部署方案，支持AI模型的快速迭代和部署；
4、参与统一智能体开发环境的设计与实现，为科研人员提供高效便捷的开发测试环境；","1、深入掌握Kubernetes生态系统，具备大规模基础设施开发与运维经验，熟悉自定义Operator开发；
2、熟练应用Istio服务网格技术，有实际项目中实施流量管理、安全策略和监控的经验；
3、熟悉Go/Python/Java等至少一门语言，有大型分布式系统开发经验；
4、熟悉云原生监控体系（Prometheus/Grafana等）和日志系统（ELK等）以及至少一种主流云平台（AWS/Azure/阿里云）的云原生服务；

项目经验
1、3年以上后端开发或DevOps经验，2年以上Kubernetes生产环境实战经验；
2、有AI基础设施或大规模分布式系统建设经验者优先；
3、有完整参与过从0到1构建强化学习基础设施的经验；有在生产环境中解决Kubernetes集群稳定性、性能问题的实际案例优先",,孟慧,2026/2/3,https://hire.feishu.cn/hunter/position?job_post_id=7602600521225308426
大模型算法评测工程师,上海人工智能创新中心,,上海,--,--,,"主要职责
1、评测基础设施与工具链建设
1）负责大模型评测工具链与中台系统的整体架构与研发，覆盖大语言模型、多模态模型及智能体等
2）主导评测体系的工程技术演进，持续集成前沿评测方法与社区最新成果，构建高效、可扩展、自动化的评测基础设施。

2、高质量评测能力集成支持
1）针对内部研发需求持续支持各类评测基准，保障评测能力上线的质量与时效性。
2）探索用户自定义评测能力的研发，研发快速敏捷的评测能力更新集成方案。

3、模型研发牵引与评测影响力建设
1）深度参与内部大模型研发流程，通过量化分析诊断模型短板，与算法团队紧密协作推动模型能力持续提升。
2）负责维护和拓展 OpenCompass 等开源评测平台的行业影响力，定期发布权威评测报告，输出技术洞察。
3）跟踪全球大模型技术进展，建立内外部模型能力对标体系，为产品与技术决策提供数据支撑。","1、计算机、人工智能、数学或相关专业硕士及以上学历；
2、扎实的算法基础与工程实现能力，熟悉 Python，具备大规模系统开发经验；
3、深入理解大模型原理与评测方法，有 LLM / 多模态模型 / 智能体相关评测或研发经验者优先；
4、熟悉主流评测框架（如 OpenCompass 等）或参与过相关开源项目者优先；
5、具备良好的技术前瞻性、系统思维与跨团队协作能力，对构建科学、公平、可解释的AI评测体系有强烈热情。",,孟慧,2026/2/3,https://hire.feishu.cn/hunter/position?job_post_id=7602600521225160970
大模型算法工程师-数据平台中心,上海人工智能创新中心,,上海,--,--,,"1. 作为算法工程师深度参与科学智能相关项目，与科研及算法团队紧密协作，承担一线算法与数据相关工作；
2. 负责面向模型与算法需求的数据建模与处理工作，直接参与模型训练、评测与实验迭代；
3. 结合具体算法与模型需求，设计并实现数据侧算法方案，并通过实验验证保障交付质量；
4. 参与或负责自动化、高通量数据流水线的建设，包括数据流程工具与 data agent 的设计与开发，持续优化项目中的数据与实验管线。","1. 计算机、人工智能、数据科学、生物信息学或相关交叉背景的硕士及以上，具备扎实的算法与工程基础
2. 具备一定算法工程师相关经验，能够独立完成算法实现、实验设计与结果分析
3. 熟悉常见机器学习 / 深度学习模型，有良好数据建模处理能力，有模型训练、调参或评测经验
4. 熟悉 Python 及常用算法 / 数据处理工具，具备良好的工程实现能力
5. 学习能力强，对 AI4S 相关科研项目有一定经验或者有强烈兴趣，能够快速理解项目中的科学背景与实际需求，并与科研团队高效协作
6. 责任心强，具备良好的沟通与协作能力

加分项：
- 有 AI4S、生物计算、科学数据或科研项目经验
- 有自动化数据流程、工具链或 data agent 相关经验
- 有高性能计算、大规模数据处理或实验平台经验
- 有语言大模型、多模态大模型实践训练等经验",,孟慧,2026/2/3,https://hire.feishu.cn/hunter/position?job_post_id=7602597574390958355
大模型知识与推理青年研究员-数据平台中心,上海人工智能创新中心,,上海,--,--,,"1. 围绕复杂知识场景，研究与构建基于大模型的知识理解、表示与推理能力
2. 面向相关项目需求，支持对科学知识、数据及文献等信息的解析与结构化建模
3. 设计与实现基于大模型的推理流程与智能系统，包括多步推理、任务分解与决策支持
4. 探索并应用前沿大模型与推理相关技术，持续提升复杂问题下的理解与推理效果
5. 推动大模型能力在真实业务与项目场景中的落地与迭代，提升系统稳定性与可用性
6. 参与高水平论文、技术报告或研究成果的产出，提升团队与方向的行业影响力","1. 计算机、人工智能、自然语言处理、数据科学或相关背景博士
2. 具备大语言模型、多模态大模型相关经验，包括模型微调、Prompt 设计或推理优化
3. 有 Agent / 智能体系统 设计或开发经验，理解多步推理与任务分解
4. 熟悉知识建模、推理或复杂文本理解等技术方向
5. 具备良好的工程实现能力，能够将研究方法落地到真实系统

加分项：
- 有科学文献处理、知识图谱、检索增强生成（RAG）等相关经验
- 有推理优化、复杂任务规划或模型评测经验
- 发表过高水平论文，或参与过有影响力的技术报告 / 开源项目
- 一线互联网公司 NLP/多模态算法研发经验者优先",,孟慧,2026/2/3,https://hire.feishu.cn/hunter/position?job_post_id=7602603229839214858
智能系统研究员-计算-筋斗云人才计划,ByteDance,,北京,博士及以上,1-3 年,,"团队介绍：字节跳动基础设施计算团队，专注构建面向大模型与 AI Agent 时代的 AI-Native Infra。我们从算力、系统到平台，围绕“AI 如何高效运行、持续进化、规模化落地”这一核心问题，重构计算基础设施。我们管理着数十万台服务器组成的超大规模集群，构建统一的异构算力调度与云原生运行体系；通过软硬协同与自研框架，持续突破大模型训练与推理的性能瓶颈；并进一步向上，打造企业级 AI Agent Infra，让 Agent 具备身份、权限、记忆、观测与治理能力，真正成为可运行在生产环境中的新型“应用形态”。
从云服务器、容器、函数，到 AI 网关、可观测与弹性体系，我们构建的是一个为 AI 而生、由 AI 驱动进化的基础设施平台，支撑集团核心业务与企业级客户的智能化升级。
如果你希望参与定义 AI 时代的 Infra 范式，而不仅是优化一个模块或服务——欢迎加入我们，一起构建下一代 AI 云原生基础设施。

课题介绍：
课题背景：
在大语言模型蓬勃发展的当下，本课题聚焦于智能云基础设施与数据处理关键技术的多维度研究，旨在全面提升云服务在 AI 场景下的综合性能与效率。
课题挑战：
1、新一代搜索型数据库：当前产业界广泛应用的 ElasticSearch 面临数据与用户需求的深刻变革。需实现语义检索升级，突破关键词匹配限制，以满足学术研究等领域对语义理解和精准检索的要求；具备处理和融合多模态数据的能力，应对互联网图像、音视频多模态数据的爆发式增长；优化检索过程，更好地支持检索增强生成（RAG）技术，为语言模型提供优质信息；同时，需应对各行业海量数据存储检索压力，提升搜索实时性与跨语言能力。
2、面向 LLM 的下一代智能云基础架构：一方面，自动化和智能化管理基础架构各系统生命周期，深度融合人工智能与基础架构关键系统，建设大规模LLM for Infra 服务；另一方面，针对新涌现的 LLM 应用场景，在基础架构各个领域进行前沿技术创新，与字节工程团队合作，设计和开发高性价比且简单易用的下一代大模型基础架构，为火山引擎奠定技术与业务增长基础。
3、面向 AI 场景的 serverless 高性能弹性文件系统关键技术研究：大模型时代数据量爆炸式增长，当前文件系统多采用中心化元数据架构，难以水平扩展，限制文件系统规模及元数据性能。本研究将围绕元数据扩展性、与大模型深度结合提供 Data Insight、设计高性能元数据单机引擎、实现任意目录快照、融合文件系统和对象存储元数据、内存加速、提供 QoS（性能租户隔离和目录隔离）、故障处理（故障域隔离和故障无损）以及研发高性能客户端（用户态文件协议和 DPU 卸载）等关键技术展开。
4、面向大规模 AI 集群的高速通信和稳定性优化：随着大模型训练 / 推理业务规模增长，底层高速网络面临挑战。一方面，需解决 GPU 服务器硬件资源利用率偏低问题，包括充分利用 CPU 和内存空闲资源，以及研发计算通信融合的高性能集合通信库，实现通信算子与计算任务的深度融合；另一方面，在稳定性方面，提升故障快速发现和根因定位能力，解决网络吞吐不达预期等典型故障。","1、人工智能、计算机科学、数学相关专业；
2、拥有扎实的信息检索、数据挖掘、机器学习、计算机网络等相关领域理论基础，精通计算机网络和网络编程，熟练掌握至少一门主流编程语言，如C/C++、Python、Go等，具备优秀的代码能力、数据结构和基础算法功底；
3、针对不同研究方向，需具备相应能力，如能够独立完成复杂搜索任务的设计与开发；有LLM和基础架构相关研究背景；能完成研究点的设计文档、独立交付件、演示Demo；熟悉当前高性能网络和系统领域的最新进展，包括RDMA，拥塞控制、AI网络优化等技术；
4、具备高效的学习能力，拥有较强的自我驱动意识；具有良好的团队合作精神，善于与团队成员协作交流，共同攻克难题；出色的问题分析和解决能力，有自主探索解决方案的能力；出色的心理素质与应变能力，面对困难勇于迎接挑战，面对复杂局面沉着、冷静、灵活；
5、在SIGIR、VLDB、ICDE、NeurIPS、SIGCOMM、NSDI等顶级学术会议或期刊上发表过论文者优先，在面向AI场景的Serverless高性能弹性文件系统关键技术研究方向需有两篇CCF A类顶会论文。",,郭凡,2026/2/2,https://hire.feishu.cn/hunter/position?job_post_id=7602226126286555438
基础设施研发工程师（IaaS方向）,MiniMax,,上海,--,--,,"1. 负责 AI 基础设施计算、存储、网络相关系统的研发工作，包括但不限于资源管理、调度、配置、监控、运维自动化等管控面能力建设。
2. 参与或主导 数据面相关系统研发与优化，提升在大模型训练、推理和数据处理场景下的性能、吞吐与稳定性，包括 IO 路径、网络转发、数据访问链路等关键模块。
3. 设计并实现基础设施 管控面与数据面的解耦与协同机制，支持大规模 GPU/AI 集群的统一管理与高效运行。
4. 针对 AI 场景中的性能与稳定性问题，进行系统级分析与调优，定位计算、存储、网络链路中的瓶颈并推动优化落地。
5. 与基础设施选型、交付、运维、运营团队密切协作，将底层硬件能力与业务需求通过系统化方式进行抽象与放大。","1. 本科及以上学历，计算机、软件工程或相关专业，具备 系统研发或基础设施研发经验。
2. 扎实的系统开发基础，熟悉 Linux 系统，理解操作系统、网络、存储等基础原理。
3. 熟悉至少一个方向的系统研发：
- 计算资源管理 / 调度系统
- 分布式存储或存储服务
- 网络控制 / 数据转发相关系统
4. 理解或具备 大模型训练 / 推理 / 数据处理 场景下的基础设施特性者优先。
5. 具备良好的问题分析能力和工程化能力，能够在复杂系统中持续推进技术问题解决。",,思齐,2026/2/2,https://hire.feishu.cn/hunter/position?job_post_id=7602173273946491142
Agent 算法工程师,LiblibAI,,上海,--,--,,"1.深入研究大语言模型（LLM）的推理与生成能力，探索 LLM 推理技术（如思维链、多步推理），优化复杂创作任务的流程与效果；
2.构建端到端的 Agent 系统，涵盖用户意图识别、知识检索、内容生成与风格偏好对齐，提升用户体验与个性化输出能力；
3.通过指令微调（Instruction Tuning）、偏好对齐（RLHF/DPO）等技术，优化模型在创作场景中的适应性。
岗位职责:
4.深入研究大语言模型（LLM）的推理与生成能力，探索 LLM 推理技术（如思维链、多步推理），优化复杂创作任务的流程与效果；
构建端到端的 Agent 系统，涵盖用户意图识别、知识检索、内容生成与风格偏好对齐，提升用户体验与个性化输出能力；
5.通过指令微调（Instruction Tuning）、偏好对齐（RLHF/DPO）等技术，优化模型在创作场景中的适应性。","1.硕士及以上学历，计算机科学、人工智能、自然语言处理、计算机视觉等相关领域；
2.精通深度学习框架（如 PyTorch、TensorFlow），具备大规模语言模型（LLM，如 GPT、LLaMA）训练与优化经验；
3.熟悉内容生成技术（如文本生成、Text2Image、Text2Video），掌握检索增强生成（RAG）、Agent 架构设计与 Prompt Engineering；
在顶级会议（如 ACL、EMNLP、CVPR、NeurIPS）发表过内容生成或多模态相关论文者优先；
4.有开源项目（如 Stable Diffusion、DALL-E、LangChain）贡献或独立 Agent 开发经验者优先；
5.熟悉多模态模型（如 GPT-4V、Flamingo）或强化学习（RL）者优先。
加分项：
1.顶会（SIGIR/RecSys 等）发表搜索 / 推荐 / NLP 领域论文；
2. 亿级搜推系统架构设计或性能优化经验；
3. 多模态大模型与知识图谱融合落地案例。",,思恩,2026/1/28,https://hire.feishu.cn/hunter/position?job_post_id=7573165167976171818
人才储备（新）,LiblibAI,,北京,--,--,,"---------------------------高端/高潜-----------------------------------
【AI 产品运营】
- C 端产品经理 （不限 HC/级别/最高可以汇报给CEO）
- 增长/商业化产品经理（高潜 年轻也可）
- 工具产品经理（设计产品或社区新业务，需要高潜，非负责人级别）
- 模型策略/效果产品经理（高潜）

【市场运营】
- 北美市场负责人或 GTM：选高潜/高素质候选人，最好AI应用领域（特殊情况可以跨行业，非首选)，必须熟悉当地文化，有生活经验，（职业经理人大概率不适合）
- 巴西市场负责人或 GTM：同上
- 增长投放相关：级别不限/可面向国内市场or海外市场，可以负责人级别，也可以有高潜资深
- KOL 运营/社媒运营：对北美及其熟悉的，留学多年文化浸染过的，有相关经验。
- 社区运营：不限 HC/不限级别/优选抖t高阶运营
模型
-应用模型结合领域的高潜领军人物",推荐后联系arina,,Arina,2026/1/28,https://hire.feishu.cn/hunter/position?job_post_id=7600318806792341811
