职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
资深后端工程师,塔斯汀,,福州,--,--,,"1、负责结合实际业务场景分解需求,并梳理出完整的解决方案；
2、负责整体架构设计与核心代码开发，如应用系统架构设计、开发框架搭建、开发规范制定，核心代码编写，指导开发团队进行业务模块代码编写等；
3、负责优化现有产品架构，设计新的架构，解决现有技术架构的瓶颈，解决现有业务产品优化升级的技术问题等；
4、负责产品的创新迭代，站在业务角度负责信息技术应用与创新，产品升级迭代，解决技术难点攻克以及技术设计方案的落地；
5、负责现有产品进行重构设计、功能改进、技术升级；
6、针对当前系统的网络稳定性层面、性能层面、安全层面整理出完整优化方案。","1、计算机相关专业，本科及以上学历，5年以上Java开发经验，3年以上项目架构设计经验；
2、精通Java，具备扎实的Java编程基础,熟悉netty,熟悉socket通信，熟悉常用设计模式、多线程、JVM，包括内存模型、类加载机制以及性能优化，具有系统设计、系统架构能力；
3、熟悉大数据分析及统计查询；
4、熟练使用 MySQL、Redis、ClickHouse、TiDB、PolarDB等；熟悉异步消息（RocketMQ、RabbitMQ、Kafka）等中间件技术，掌握其原理并能根据业务场景进行优化的优先；
5、熟练掌握SpringBoot框架，5年以上SpringCloud微服务框架开发经验,深刻理解微服务原理及运行机制，并对服务拆分、服务间调用、服务治理有独特见解；
6、具备较强的责任心，有较好的抗压能力、团队意识；思路清晰，善于思考，能独立分析和解决问题；
7、具备大数据、互联网等领域经验优先，具备分布式集群搭建、大负载容量评估、问题定位、架构优化等能力优先。",,高爱莲,2026-02-11,,,,https://hire.feishu.cn/hunter/position?job_post_id=7605266721297598739
运维工程师,塔斯汀,,福州,--,--,,"1、监控和维护公司服务器、网络设备及相关系统的稳定性和安全性
2、负责阿里云环境资源部署及调整，通过IAC方式进行自动化部署，维护和开发实施DevOps相关系统
3、参与系统架构设计和实施，确保系统的高可用性和可扩展性
4、进行故障排除，分析并解决系统性能问题
5、负责阿里云环境下产品功能调研和合规性评估。
6、负责阿里云环境下架构设计和调整
7、响应和解决生产问题，支持开发团队，协助优化系统架构","1、5年以上IT运维相关工作经验，必须具备K8S部署、管理、升级经验，具备扎实的K8S理论基础及实操能力
2、必须具备云原生日志监控告警管理及配置经验，具备扎实的理论基础及实操能力
熟悉常用服务部署技术，如Docker、Kubernetes、Nginx、Apache、EKS，RDS，ALB，CDN，WAF等
3、有高并发系统运维经验，能协助优化系统架构和修复鉴权开发代码。
4、掌握主流的监控工具和自动化运维工具（如Prometheus Jenkins、Ansible等）
具备脚本编写能力（如Python、Shell等），能够实现自动化操作
5、熟悉IAC理念，具备从零到一的代码架构设计和开发经验，能够完成复杂的Terraform 编写和优化现有代码框架。",,于晓蕾,2026-02-11,,,,https://hire.feishu.cn/hunter/position?job_post_id=7605267288430430474
高级信息安全工程师,塔斯汀,,福州,--,--,,"岗位内容：
1、主导或参与公司新系统、新业务的安全需求评审和架构设计，确保其符合最佳安全实践和行业标准。
2、设计和部署（或监督部署）关键安全基础设施，包括但不限于：防火墙、IDS/IPS、WAF、VPN、DLP、SIEM系统等
3、制定、更新和推行公司层面的信息安全策略、标准、流程和基线。
4、在发生安全事件时，领导或参与应急响应（IR）流程，进行取证、遏制、根除和恢复工作。
5、推动安全工具和流程的自动化，例如使用脚本或工具进行漏洞扫描、配置检查和安全审计。","岗位要求：
1、5年以上信息安全领域相关工作经验，至少2年高级工程师或类似职位经验。
2、深入理解TCP/IP协议、网络架构、主流网络安全设备（防火墙、WAF、IDS/IPS）的原理、配置和调优。
3、熟悉OWASP Top 10，掌握常见的Web、移动应用、API安全漏洞原理、检测和修复方法。
4、具备主流云平台（如阿里云, 腾讯云, AWS）的安全配置、架构和管理经验。
5、熟练使用Nessus, Metasploit, Wireshark, Burp Suite, 或类似安全审计和分析工具。
6、至少掌握一种脚本语言（如Python, Go, Shell）用于安全工具开发和自动化。
7、持有以下任一或多个专业认者优先，CISSP, CISM, OSCP, CEH, CISA, CCSP。",,于晓蕾,2026-02-11,,,,https://hire.feishu.cn/hunter/position?limit=30&current=5
科研项目管理（AI安全技术方向）-科研服务中心,上海人工智能创新中心,,上海,--,--,,"岗位职责：
1. 负责科研团队重点研发项目工作推进，制定研发型项目管理方案与配套全流程，提升研发项目工作效率并推动落地；协调内外部资源(产研团队、合作企业、政府等相关部门)，确保项目进度、质量与成本可控；识别项目风险，提供预案并解决跨部门协作问题，保障项目按期交付；
2.支撑科研项目标准化立项与交付全流程，组织项目书撰写、阶段性检查、结题验收等工作；
3.支持组织管理与运营，包括但不限于团队资源配置与资源协调（设备、算力、人力等）、知识库建设、效能优化等；
4.支撑开展人工智能产业、科研等决策研究，参与相关文件的起草编制等；
5.管理并跟进与重点企业、机构的合作，支持研究团队与外部沟通交流。","1.硕士及以上学历，3年及以上相关工作经验，人工智能、计算机等理工科相关专业优先；
2.拥有出色的沟通协调能力与跨部门合作能力，能够与不同部门、不同层级的人员进行良好的沟通与协作，协调各方资源，解决项目管理过程中的各种问题；
3.熟悉AI产品生命周期全流程/模型训练全流程/AI技术治理，并有比较完整的AI项目管理(包含规划、执行、监控等)实践经验优先；
4.有政府机关、科研事业单位、大型企业等相关工作经验的复合型人才优先；
5.拥有PMP证书或Scrum Master认证优先。
职位要求
--",,周炯,2025-11-10,,,,https://hire.feishu.cn/hunter/position?job_post_id=7570916232100448550
具身智能算法专家-Data,ByteDance,,北京,本科及以上,不限,,"1、参与通用VLA的算法架构设计，包括但不限于多模态模型/世界模型、Action Expert、Trajectories合成等研究；
2、负责VLA在具身智能项目上的落地，参与预训练、后训练、仿真/真机评测等。","1、计算机相关专业，硕士/博士学位，专业方向为计算机科学、自动化、人工智能、机器人学或相关领域；
2、熟悉LLM/VLM/VLA方向的主流工作，如Qwen，Llama，OpenVLA，Pi-0.5等，熟练掌握多模态大模型相关技术；
3、具备强化学习、扩散模型、流匹配等方面的理论和实践经验；
4、有探索欲和责任心，善于发现和解决问题，交付能力强。",,杜英英,2025-11-07,,,,https://hire.feishu.cn/hunter/position?job_post_id=7569941853215525139
云服务器稳定性架构师-计算,ByteDance,,杭州,本科及以上,不限,,"1、设计、构建和优化云服务器稳定性架构，包含但不仅限于故障迁移、监控告警、全链路观测、依赖治理、变更管控、限流降级、巡检拨测、容灾体系建设等，预防和应对潜在的系统故障和性能瓶颈；
2、负责云服务器稳定性痛点问题识别和解决，负责稳定性领域技术疑难问题攻坚，包含但不仅限于异常宕机、异常夯机、性能争抢、性能抖动等场景，提升云服务器产品稳定性，面向客户提供可靠的云服务体验；
3、持续跟进稳定性业界前沿技术趋势，并结合云服务器相关实际业务场景引入新技术和新方案，例如智能运维、AI诊断、故障自愈、智能预测等，持续优化和提升云服务器的稳定性。","1、5年以上公有云/IaaS/计算相关稳定性架构设计经验/开发经验/运维经验/性能调优/客户重保一项或多项；
2、有大规模分布式系统、基础设施系统等设计开发或运维保障实战经验，如复杂业务场景的流程优化、系统高可用性架构实现、复杂依赖链路下的治理等；
3、对问题有清晰的分析逻辑和全局思维，能提出建设性的思路和解决方案，具备良好的沟通和结构化表达能力，有团队协作意识；
4、熟悉云计算架构，具备扎实的开发编程能力，熟练掌握一门以上的开发语言（Golang/Python/C）。

具备以下条件者优先：
1、有业务上云经验，熟悉一家或多家业界主流云厂商IaaS产品优先；
2、具备一定的全栈能力，对底层虚拟化、内核有相关经验，对稳定性、SLA体系有深入思考，有线上稳定性保障经验优先；
3、精于架构设计、疑难排障、性能优化，有故障处理、监控巡检、限流降级、应急预案、容量规划、红蓝演练实战经验优先。",,朱鸿艳,2025-11-06,,,,https://hire.feishu.cn/hunter/position?job_post_id=7569585200561260810
服务器硬件系统架构师-基础设施,ByteDance,,杭州,本科及以上,不限,,"1、负责字节跳动服务器产品硬件架构设计，确保跨产品、跨代次硬件架构的一致性、系统性；
2、主导服务器技术选型，负责制定和更新服务器设备级架构路标，确保满足业务需求和技术先进性，对产品架构的领先性、关键技术准备节奏、可实施性负责；
3、研究和跟进服务器行业的最新技术，和业务团队、操作系统团队紧密配合，实现硬件方案创新，提升性能、降低成本，并确保系统的高可用性和高效运行；
4、与硬件研发、网络、IDC规划团队紧密协作，确定硬件架构总体设计方案，确保服务器硬件系统在TCO、性能、易部署、易运维方向竞争力领先。","1、有5年以上服务器产品架构设计成功经验，在服务器硬件、运维方面有深厚的技术积累；深入理解计算机体系结构，精通CPU、GPU服务器硬件系统架构；
2、在CPU、内存、SSD、网卡等部件的应用和设计原理上有成功的实践经验；
3、深入数据中心基础设施、集群网络、部署及运维，能够协同开展技术规划、推进实施；
4、理解操作系统、虚拟化技术、数据库、分布式存储系统和深度学习等应用软件架构原理；
5、在跨团队的项目推动和组织方面有成功经验；具备良好的沟通能力和领导力，能够带领团队解决复杂的技术问题，推动项目的成功实施。",,王舒鹏,2025-11-06,,,,https://hire.feishu.cn/hunter/position?job_post_id=7569535004004239666
存储服务器硬件架构及性能优化工程师-基础设施,ByteDance,,北京,本科及以上,5-7 年,,"1、结合对云平台传统存储类应用特点，深入理解上层应用迭代路标，整理输出清晰的HDD/SSD存储类硬件产品支持路标，确保硬件方案的领先性；
2、负责存储类组件资源需求画像、跨代跨平台场景化性能收益测试验证，设计性能测试方案，执行性能测试，针对系统性能瓶颈分析，提出调优建议并协助调试验证完成，输出性能测试报告；协调解决新硬件、新技术落地过程中遇到的技术问题；研究和完善性能测试方法，性能分析工具体系建设，进行性能方法、工具总结沉淀和最佳实践总结；
3、存储类组件性价比对比评估、输出跨平台标准算力折算方案；
4、结合产业链的最新技术能力和硬件产品架构特点，提供综合竞争力领先的存储型硬件解决方案；
5、监控和分析云硬件在实际应用中的质量、性能表现，并提供系统的技术支持能力，推动改进识别和落地。","1、本科及以上学历，电子工程或者计算机相关专业，5年及以上存储领域的硬件开发或测试或性能调优基础经验；3年以上直接的存储系统架构、技术规划经验；
2、良好的Unix/Linux操作系统基础及熟练使用常用命令，具备独立分析定位问题、分析和解决问题的能力；
3、熟悉各类常见大数据存储，如对象存储，块存储及分布式文件存储系统等；对计算、存储、数据库等云产品有较系统的理解，有相关工作经验者更好；
4、具有直接的互联网业务组件的性能测试开发经验更好，精通压力、负载测试，熟悉主流厂商服务器硬件产品，熟悉主流处理器、硬盘、网卡、SAS卡及测试方法，熟悉掌握Speccpu/Fio/Iperf/Stream/MLC/Lmbench等工具及相关调优手段；
5、具备较强的团队沟通和协作能力，有较强的全局视野、沟通组织能力、项目推动能力；具备较强的学习能力和逻辑思维能力，关注前沿技术，较好的团队协作及团队意识，有较强的责任心和执行力；
6、对ToB产品的端到端交付过程、产品逻辑有较系统的理解。",,王舒鹏,2025-11-06,,,,https://hire.feishu.cn/hunter/position?job_post_id=7569534066350065971
弹性与编排研发工程师-基础设施,ByteDance,,上海,本科及以上,3-5 年,,"1、负责火山引擎自动化编排类云产品设计与实现，当前产品包含但不限于弹性伸缩、云助手、资源编排、流程编排；
2、通过产品功能设计降低客户使用云产品门槛，提升客户用云体验，提供客户自助服务及运维能力；
3、负责构建产品核心技术竞争力，承担关键技术架构选型与验证，同时负责落地和实现。","1、本科以上学历，计算机相关专业，5年以上研发工作经验，可熟练使用Golang/Rust/Java/Python中的一种进行后端开发工作；
2、具有分布式系统研发背景，能够熟练使用Linux命令、SQL、MQ、Redis等常用工具和系统；
3、具有高可用架构设计和实践经验，针对高并发优化以及最终一致性设计有实践经验；
4、能够独立排查并分析系统瓶颈，给出优化方案并落地解决；
5、具有良好的沟通、协作能力，具有主动推进方案落地的能力；
6、具备以下条件者优先：熟悉主流云厂商众多产品者优先；具有良好的编码能力，熟悉并敢于尝试行业最新技术者优先，熟悉AI技术使用以及原理者优先。",,郭凡,2025-11-06,,,,https://hire.feishu.cn/hunter/position?job_post_id=7569512015984118043
AI性能优化专家-火山引擎,ByteDance,,北京,本科及以上,不限,,"负责火山引擎-IaaS异构云产品的性能优化，聚焦AI场景、大模型训练和推理的性能提升，构建通用的软件加速方案，协助客户挖掘硬件性能潜力，提升应用表现。

主要工作包括：
1、负责AI Infra的性能分析，构建性能标尺和竞争力模型；
2、负责基于云上AIGC等业务场景的性能分析以及训练、推理场景的底层优化工作；
3、负责云上IaaS 国产加速器在AI场景的引入、落地和优化工作。","1、熟练掌握Linux环境下的C/C++、Python、Go语言，有分布式系统软件开发和调试经验；
2、熟悉LLM/CV/NLP/推荐系统等业务场景的系统和原理；
3、有主流深度学习框架（如TensorFlow、PyTorch等）相关开发经验，掌握框架任一组件的代码实现；
4、掌握异构计算、网络、存储的性能分析工具和相关原理，有软硬协同优化经验。

具备以下条件之一者优先：
1、熟悉主要云厂商的AI Infra解决方案；
2、在LLM训练或推理性能优化方面有实操经验；
3、有模型量化和业务模型精度调优经验；
4、有TensorRT/CUTLASS/Trition等开发经验和性能优化经验；
5、熟悉国产AI加速卡生态，有实际场景的应用经验。",,朱鸿艳,2025-11-06,,,,https://hire.feishu.cn/hunter/position?job_post_id=7569498161217194281
