职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
后端开发工程师-投放方向,小红书,,"上海市,北京市",本科及以上,不限,,"1、负责并参与小红书广告投放系统开发升级，包括RTA竞价、媒体分成机制、媒体质量分析等；
2、开发，设计和落地广告在线服务；
3、设计，开发，维护和改善目前的系统架构；
4、紧密地和跨功能团队合作（包括但不限于工程，算法，数据分析，产品，策略），理解需求，并能提出自己的想法，前瞻性的提供和落地技术方案。","1、统招本科及以上学历，计算机相关专业，5年以上软件开发经验；
2、Java基础扎实，对IO、多线程、JVM等有一定了解，熟练使用常见编程框架，对其原理有所了解；
3、丰富的编码经验，良好的编码风格，以及扎实的系统设计能力；
4、熟悉广告业务，包括创编、定向、监测度量、竞价策略、财务、客户管理和销售管理等优先；
5、深刻理解高并发场景的系统架构设计，搭建和维护，且对相关的开源框架熟悉优先；
6、熟练掌握SQL，了解离线/实时数据流开发，有广告投放业务数据体系建设开发经验者优先。",5,袁庆芳,,,,,https://hunter.xiaohongshu.com/position-detail/19355
AI音频算法工程师-社区技术,小红书,,"北京市,上海市",硕士及以上,不限,,"1.在业务场景下围绕语音及音乐，支撑小红书平台多项业务板块，将AI语音交互/音乐理解及生成等技术赋能产品线
2.跟进最领先的语音交互技术/音乐理解及生成技术，包括但不限于提出新的技术框架、改进现有的算法、持续提升相关技术及业务指标，鼓励撰写论文及申请专利。","1.AI、EE、CS相关专业；
2.在语音识别/语音合成/音乐信息检索/音乐生成等方向有相关经验；
3.精通Tensorflow，Pytorch等工具，了解深度学习及大模型相关技术，具有模型优化经验；
4.良好的团队沟通能力，积极思考，主动解决问题者优先；
5.在相关国际会议或期刊（ICASSP、INTERSPEECH、 ASRU、ISMIR、 TASLP、 Speech Communication）发表过论文者优先",1,介佩玺,,,,,https://hunter.xiaohongshu.com/position-detail/14477
后端开发工程师-国际化创新,小红书,,"上海市,北京市",本科及以上,不限,,"工作职责：
1. 负责小红书海外创新业务的后端服务建设与维护；
2. 通过构建Agent、Multi-Agent的技术框架，探索AI能力在创新产品中的可能性；
3. 基于对业务的理解，进行系统选型、设计、编码，为系统长期的稳定性及可维护性负责；
4. 具备解决复杂系统问题的经验和能力，持续寻找和优化现有系统的不足，提升系统性能和稳定性。","任职资格：
1. 大学本科或以上学历，计算机相关专业，3年以上后端开发经验；
2. 扎实的计算机基础知识，较强的学习能力和逻辑推理能力；
3. 熟练使用Java和Spring生态；
4. 掌握 MySQL、Redis、RocketMQ、Kafka、ElasticSearch等常用服务组件，有定制化改造经验更佳；
5. 自驱力强，积极主动，能独立负责一块业务，和团队中各个角色进行高效的沟通协作，迅速推进问题解决，有Agent开发和数据分析经验者更佳。",2,袁庆芳,,,,,https://hunter.xiaohongshu.com/position-detail/19353
【hi lab】基础模型 Post-Train 研究员,小红书,,"北京市,上海市,杭州市",硕士及以上,1-3年,,"在以下一个或多个前沿方向进行深度攻关：
1、Reasoning & RL Scaling： 探索 RL Scaling Law，在数学、编程、视觉推理等可验证任务上提升模型的可泛化推理能力；研发 Adaptive Thinking 技术，使模型具备动态调整思考深度的能力。
2、Agentic Intelligence： 构建多模态环境下的规划、工具调用、执行与反思闭环；研究 Multi-agent RL 以应对超长程任务；探索 Proactive AI，使模型具备主动交互与需求澄清能力。
3、Self-Evolving & Intrinsic Motivation： 突破人类监督的扩展性瓶颈，研究自我评估与修正机制；探索通过 Intrinsic Reward（内在奖励） 替代外部反馈，实现 AI 的持续自我迭代。
4、Lifelong Learning： 赋予模型从长期交互中持续学习的 Meta 能力，提升模型在长程对话中的用户理解力与任务解决成功率。","基础要求
基础能力： 扎实的机器学习与深度学习基础，对大模型模型训练全流程有深入理解；
解决问题： 具备逻辑严密的分析能力，能够从复杂现象中抽象出底层问题并给出系统性方案。
专业能力：具备扎实的机器学习理论基础，能够深刻理解并解决 RL 训练中的各种问题问题，包括 Reward Hacking、Training Stability、Exploration Efficiency等
动手能力：有优秀的算法实现能力和工程性能感知，具备优秀的数据敏锐度， 能够从中数据得到让模型效果突破的 insight

加分项
研究成果： 在 NeurIPS、ICLR、ICML、CVPR、ACL 等顶级会议发表过高水平研究成果，或主导过知名开源项目优先
敏锐的直觉和探索精神：具备极强的好奇心，能在高度不确定的无人区中通过严谨的实验验证寻找确定性。不满足于优化已有 Benchmark，而是对“模型是否真的在理解、在进化”保持极度敏感。",10,张雅雯,,,,,https://hunter.xiaohongshu.com/position-detail/19318
商业审核策略运营,小红书,,"北京市,上海市,武汉市",本科及以上,3-5年,,"1、将商业化/电商审核治理需求拆解为可落地的机审策略与大模型识别处置方案，持续提升准确率与召回率；通过策略/PE/RAG/Workflow等能力持续实验迭代，降低漏放与误杀对体验的影响，并持续降低进人审率与审核成本。
2、设计、开发并迭代面向商业化审核的Agent与Workflow，实现复杂风险场景的自动化识别、推理与处置；沉淀可复用的组件、流程与运营方法论。
3、牵头推进各风险域的风险、体验、成本目标达成：制定项目目标与指标体系，输出解决方案与实施路径，协同规则、审核、质检、算法、研发、治理、产品等团队，推动按期交付并形成闭环复盘。
4、以产品化思维持续优化策略运营与工具链（如配置、评测、监控、回滚等），提升机审自主运营效率，在风险可控前提下实现体验与效率的综合最优。","1、本科及以上学历，3年以上机审策略/模型运营经验；有商业化治理、电商风控/内容安全相关经验优先。
2、自驱与结果导向，学习能力强，具备结构化分析与问题拆解能力；良好的沟通表达与跨团队协作能力。
3、理解大模型基本原理，熟悉至少一种主流大模型应用开发框架；具备Agent/Workflow从搭建、评测到部署的实战经验。
4、具备较强业务理解与落地能力：熟悉Prompt设计与调优，能结合标注/审核/质检等流程梳理运营逻辑并制定可执行方案。
5、强责任心与Owner意识，敢于挑战既有方案；具备数据敏感度与风险意识，能在不确定性下推动决策与落地。",3,李龙,,,,,https://hunter.xiaohongshu.com/position-detail/19270
商业化风险感知,小红书,,北京市,本科及以上,3-5年,,"1、基于业务洞察和研究，定位商业化场景出现的各类风险及问题，协助编写风险分析报告并能给出改进意见，推动业务责任方优化落地；
2、对业务数据及舆情风险变化敏感，建设并迭代风险异动指标和风险监测方法，提升商业化风险感知挖掘效率；
3、参与商业化风险运营基建工作，与运营、产品、算法紧密合作，协助完成风险感知/识别/处置/验证等维度的平台能力搭建；","1、本科及以上学历，法学/新闻学/传播学/情报学等专业，或有相关业务经历优先；
2、能使用EXCEL/WORD等工具，有数据分析经验更佳；
3、关注行业热点，对商业化场景风险敏感。思考与分析有逻辑性，关注业务细节并具有良好的表达能力；
4、有责任心，好奇心和学习能力强，有抗压性且敢于接受挑战。",2,李龙,,,,,https://hunter.xiaohongshu.com/position-detail/19252
产品专项,小红书,,"北京市,上海市",本科及以上,3-5年,,/,/,10,王茜,,,,,https://hunter.xiaohongshu.com/position-detail/13602
基础模型算法工程师 - LLM Post-training,小红书,,"北京市,上海市,杭州市",硕士及以上,1-3年,,"岗位定位：
本岗位侧重于提升大语言模型的“核心大脑”能力。你将通过先进的 Post-training 技术，让模型在Reasoning、Agentic以及人类意图对齐上达到业界顶尖水平，通过提升AI智能水平的上限，支撑小红书所有业务场景，包括且不限于搜索、广告、推荐、电商、客服及智能发布等核心场景。
你的工作内容：
大规模对齐与强化学习： 研发并优化 SFT、RL（如GRPO 等）算法，构建高精度的 Reward Model，解决模型在复杂指令下的对齐问题。
推理模型（Reasoning）优化： 探索长链推理（CoT）、强化学习驱动的自反思与自进化机制，提升模型在的 System 2 思维能力。
Agentic RL 与Agency： 研发面向 Search Agent、Code Agent 和 Tool-use Agent 的强化学习方案，提升模型在开放环境中的任务拆解、工具调用及闭环执行能力。
合成数据与模型进化： 探索高质量合成数据的生成与过滤技术，实现模型能力的自我循环与持续进化","我们希望你具备：
背景： 计算机、数学等相关专业硕士/博士；深入理解 Transformer 架构及大模型训练全流程。
专业深耕： 在 Search（搜索）、Code（代码生成/工程）、tool-use、alignment 或 RL（强化学习） 领域有深厚积累。
工程能力： 熟练使用 PyTorch，有 DeepSpeed、Megatron-LM 或 Ray 等大规模分布式训练实战经验。
加分项：
在 NeurIPS, ICML, ICLR, ACL 等顶会发表过高质量论文。
在 LLM 大家关注的 Benchmark 榜单有深入研究或优异表现。",3,陈天华,,,,,https://hunter.xiaohongshu.com/position-detail/19257
大模型Agent算法专家,小红书,,"上海市,北京市",硕士及以上,1-3年,,"职位背景：
小红书作为用户的“生活决策指南”，每天承载海量的搜索与浏览需求。我们正在从传统的“信息检索”向“意图满足与服务分发”进化。
你将加入核心算法团队，负责建设小红书社区原生的 Agent 平台。利用 LLM、RAG、Multi-Agent 等前沿技术，深度理解用户复杂的非结构化 Query（如旅游攻略、装修避坑、穿搭建议），调度全站笔记、商品与工具资源，为用户提供能够直接解决问题的“智能方案”。
岗位职责：
Agent 核心架构建设：负责通用 Agent 框架的设计与研发，包括意图识别（Router）、任务编排（Planning）、工具调用（Function Calling）及多轮对话状态管理（Memory），构建支持高并发、低延迟的在线智能分发系统。
大模型调优与对齐：基于开源或自研基座模型，利用 SFT、RL 等技术进行垂直领域微调。增强模型的小红书风格化表达（社区感）、复杂指令遵循能力及工具调用准确率等。
垂类智能体落地：深入旅游、美妆、装修、法律等核心垂类，设计专有的 Workflow，打通笔记、商卡、POI 等结构化数据，提升用户从“搜索”到“决策”的转化效率。
评测与迭代体系：建设 Agent 自动化评测平台（LLM-as-a-Judge），制定涵盖准确性、相关性、有用性及安全性的多维评估指标，通过离线评测与在线 A/B 实验持续驱动效果优化。","基础素质：计算机、人工智能等相关专业硕士及以上学历，具备扎实的机器学习/深度学习理论基础，精通 Python，熟练使用 PyTorch 等框架。
LLM 经验：深入理解 Transformer 架构，有大模型 Pre-training、SFT、RL 全流程实战经验。
业务落地能力：具备极强的工程落地能力，对数据有敏锐的洞察力，善于从海量非结构化数据（User Query, Notes, Comments）中挖掘价值。
加分项：
在 NeurIPS, ICML, ICLR, ACL 等顶会发表过高质量论文。
在 LLM 大家关注的 Benchmark 榜单有深入研究或优异表现。",3,陈天华,,,,,https://hunter.xiaohongshu.com/position-detail/19254
热点策略运营（挖掘）,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责小红书端内热点策略及运营，聚焦流行趋势挖掘和放大和人群运营；
2、热点挖掘：潜力原生热点线索的发现与放大，通过运营助推促成爆款，打造行业认可的优质案例；
3、热点心智：持续沉淀各兴趣领域的热点差异化心智，为圈层用户提频负责；
4、热点促产：热点创作者运营，优化热点创作范式，通过社群运营、活动促产、定向邀约等方式带动热点发布规模；
5、讨论运营：聚焦热点讨论方向及评论运营，以数据和内容洞察为出发点，推动热点产品功能及热点后台产品的能力迭代，提升热点评论规模；","1、本科及以上学历，具有3年及以上工作经验，从事过热点策略相关岗位优先；
2、熟悉内容产品，对趋势发酵有判断力，熟悉内容生产、分发、传播的完整链路；
3、与垂类、产品、生态、推荐等业务密切配合，推动跨部门OKR协作，为业务目标负责；
4、抗压力强，具备高度责任心，乐于接受挑战，能在较大的压力下保持良好工作状态。",1,朱秀英,,,,,https://hunter.xiaohongshu.com/position-detail/19210
