职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
阿里云智能-商业技术工程师BTE（互娱&在线教育方向）-北京,,云智能集团-阿里云智能,中国-北京-北京,本科,五年以上,P7,"1、负责阿里云战略大客户的商务运作及拓展

2、对互联网行业有较为深刻的洞察，对当下热点和未来趋势等有自己的理解和判断；

3、有丰富的大客户维护经验，能独立完成重点项目挖掘、布局、运作和管理；

4、为阿里云服务的战略客户，提供更立体、更专业的咨询级服务等，帮助客户成功；

5、较强的内外部资源整合能力，完成项目推动与落地。","1、有5年以上IT从业经验，对云计算、大数据、AI、IoT等有较深入的理解；

2、大学本科及以上学历，具有3年以上互联网行业或大型企业经验；

3、有行业售前、架构设计经验，云计算认证证书者优先；

4、有较强的客户开发能力和市场拓展能力，有一定客户资源及较广泛行业从业经验者优先；

5、具有良好的沟通和表达能力，团队意识强；坚忍不拔，勇往直前，抗压能力强；

6、乐观、主动，有激情，敢担当；学习能力强，不甘平庸，勇于接受挑战，善于开拓创新。
备注：持有阿里云ACA/ACP/ACE认证证书者优先",1,韩虎(连易),,2026 - 01 - 12,2026 - 04 - 12,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026011287cf3921ed2e47eab15a7e28342995e8&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-通义大模型产品运营专家-北京/杭州,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",本科,五年以上,P7,"1、洞察人工智能/大模型产品相关的市场机会、行业场景，快速捕捉市场热点和客户业务痛点，挖掘产品商机，行业方案，跨部门合作快速推动落地，形成产品竞争力。
2、监控并分析产品运营数据，且善于发现和总结行业痛点，并能够挖掘出可与现有产品或技术相结合的潜在需求，协同产研，推进创新功能或创新产品的落地，推动产品升级迭代和竞争力的持续改善，并基于此开展个性化的营销活动。
3、负责大模型项目效果保障，围绕客户业务场景，以客户价值为目标，完成效果履约，提供高质量的优化方案和实施方法，确保客户成功。
4、对大模型效果有较强的敏锐性，能结合行业场景建立业界评测标准，协同算法团队，保障大模型商业化能力形成领先竞争力。
5、熟悉大模型技术领域，能综合运用2B的传播运营工具及方法，进行人工智能产品或服务的活动策划和执行，包括线上活动、线下活动、促销营销转化活动等。如：大型峰会、大模型案例撰写宣推、技术沙龙、白皮书、媒体PR等，扩大产品品牌影响力，并以市场活动为手段，牵引商机的引入，形成营销转化闭环，有ROI意识。
6、监控内容运营效果，定期产出内容效果报告，并根据数据分析结果进行内容优化调整。并协同产品、市场和销售团队，确保内容运营活动与商业目标和营销活动紧密对接，拟定可落地的前线销售激励策略。
7. 负责通义大模型的战略重点解决方案及项目（组合/群/集）落地，协调BU内外技术、产品、业务等团队资源，保障通义业务目标和收益达成。
8、结合事业环境因素，制定符合阿里云通义团队的项目和需求的治理框架和体系，并且持续管理和运作。
9、支持域内和跨团队的业务产品技术的协同工作，通过提供项目运作及管理解决方案，项目流程规范等，提升研发效能和目标达成率。","1、计算机或相关专业本科及以上学历，5年以上工作经验。
2、有较全面的IT技术背景，具备大型复杂项目管理经验。
3、精通并爱好项目管理，有大局观，同时熟练掌握调研分析，数据分析、分解规划，风险应对，协同推进，组织领导等技能，具备结构化思维。
4、熟悉互联网/云计算公司项目管理的思路和方法，具备优秀的沟通能力和项目管理技能，能够协调跨部门资源，推动复杂项目的进展，能在高项目并发的情况下完成解决方案支撑工作。
5、业务能力强，逻辑性好，有良好的对客沟通能力，有业务运营等相关的运营工作经验者优先。
6、精通各类产品运营工具和平台，对数据敏感，具有较强的数据分析和解读能力。",3,马玥(早稻),,2026 - 01 - 10,2026 - 04 - 09,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260110dc40a8a3c86748b889a9602a62147fba&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-采供内控专家（IT及自动化审计方向）-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"在企业数据化和AI高速发展背景下，以 “IT审计 + 自动化审计”为驱动，推动实现风险识别从“事后抽查”向“实时监控+全量覆盖”跃迁，提升内控覆盖度、深度与前瞻性。
1、IT审计：保障系统可信，筑牢控制底座
● 持续对采购、供应链&IDC关键系统执行核心业务系统的IT一般控制（ITGC）审计；
● 识别系统架构级风险，如跨系统数据一致性、接口防篡改机制、特权账号滥用等；
● 独立验证关键业务流程在系统中的控制设计与运行有效性。
2、推进自动化审计/稽核，将传统抽样逻辑转化为可重复执行的自动化规则，实现“实时监控+全量覆盖”。
● 抽象高频、高风险业务场景，将传统抽样逻辑转化自动化稽核规则，设计及实施自动化稽核程序；通过SQL/Python脚本或配置RPA等，实现交易全量扫描与异常检测；
● 构建智能审计分析模型：能运用统计分析、机器学习等识别潜在舞弊或控制失效模式，开发场景化审计分析模型（如围串标风险）；
● 推动审计/稽核能力产品化，将成熟审计/稽核逻辑封装为自助看板、轻量级机器人或API服务，并前置嵌入业务系统，实现实时拦截、分级预警与自动留痕；
3、其他内控工作，如开展稽核专项与自动化工具赋能等。","1、行业经验：5年以上内部审计、风险管理或内控相关工作经验；具备IT审计与自动化数据分析/审计实战经验。如有AI agent及大模型应用在内控领域实践经验的更佳。
2、能力要求：
● IT审计能力：熟悉COBIT、ISO 27001、NIST CSF等IT治理框架，能独立执行ITGC审计（权限、变更、接口、日志等）/ITAC审计；
● 数据及产品化能力：具备良好的业务理解力，能快速将审计目标转化为可执行的数据逻辑。精通SQL，熟练掌握Python（Pandas、NumPy、Scikit-learn）或审计专用工具（ACL、IDEA等）；能将审计逻辑转化为可复用、可调度的自动化程序。
3、其他：
● 能承受高强度的工作压力，有积极进取的精神及接受挑战的性格，目标感强，具有高度的责任感。
● 良好的文字表达、沟通及影响力；善于跨部门合作，具备较好的沟通协调能力。",1,蔡廷浩(闻卿),,2026 - 01 - 09,2026 - 04 - 09,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601092de6a4153b374677b0dccca3c74fb955&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-海外采购专家-IDC商务经理-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,八年以上,P8,"1、采购需求确认
沟通确认采购需求和具体采购项目详细要求，分析和评估采购需求的合理性和可行性，确定采购项目的预算和时间计划，并与内部部门达成一致
2、采购谈判与合同管理
组织与供应商的商务洽谈和采购谈判，管理采购合同的签署和执行，确保合同条款的合规性和有效性，跟进与监控合同履行情况
3、成本控制
确保采购项目在预算范围内进行，在谈判中争取最有利的采购条件和价格，分析采购成本结构，制定成本控制策略和措施，降低采购成本、提升采购效率
4、采购流程优化与合规
遵循公司的采购政策和合规要求，审查和优化采购流程，确保采购过程高效、透明和规范，参与采购流程的数字化和自动化改进，提升采购效率","• 8年以上云计算/ICT/运营商行业的采购或供应链管理工作经验，具备海外外派工作、有采购团队管理经验者优先
• 优秀的谈判能力，能应对复杂多变的谈判情况，灵活运用各种谈判策略，能在谈判中占据主动地位，可与供应商高层进行战略性谈判实现双方共赢
• 能深入挖掘成本数据，进行复杂的成本模拟和预测，进行全面的成本分析和控制，对公司决策提供参考
• 优秀的外部沟通和内部拉通能力，具备多项目并发处理和横向拉通管理能力，独自解决复杂的跨团队问题
• 能独立处理复杂的合同谈判和起草，处理合同纠纷和风险事件，能够制定合同管理策略",2,蔡廷浩(闻卿),,2026 - 01 - 09,2026 - 04 - 09,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601092b6264ca29074463a48e9fe50a266d0f&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-存储器件供应代表-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,八年以上,P7,"1、关注各品类主控物料技术路标，与研发、采购协同，提前规划产品生命周期管理；
2、关注Nand等的长期技术路标和供应形势，提前布局存储类部件的供应策略；
3、对器件的可供应性和连续性负责，拓展source，避免独家供应。","1、有ICT/云计算行业的SE或者供应代表经验，熟悉主流CPU、GPU平台的配套存储解决方案；
2、了解主流存储类物料DRAM、内存条、NAND、SSD、HBM、HDD行业布局，有产业链接；
3、对新型存储技术有一定了解，如PCM、MRAM、ReRAM、FeRAM等；
4、熟悉产品集成开发流程，了解产品开发关键节点以及对应执行项目。",1,蔡廷浩(闻卿),,2026 - 01 - 09,2026 - 04 - 08,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026010945e02f3edd8d4845aad5d80228978d8e&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-采供内控专家（智能风控方向）-杭州,,云智能集团-阿里云智能,中国-浙江-杭州,本科,五年以上,P7,"运用大数据、人工智能、机器学习等能力和工具，通过数据驱动和智能化手段，构建智能化风险体系，通过AI驱动数据沉淀、分析与决策闭环，提升业务风险识别与防控效果。
● 数据沉淀与治理：梳理风险相关业务流程与数据口径，推动数据采集、清洗、标注，建立可复用的数据资产（指标、标签、特征、样本集等），持续提升数据可用性；
● AI能力在风控场景落地：结合业务需求，推动AI工具/模型在风险识别、预警、稽核等场景的产品化落地（如智能辅助、自动化分流、风险提示等）；
● 评估并集成AI工具链（如LLM、AutoML、NLP模型等），优化数据处理流程（例：非结构化文本解析、异常检测自动化）；
● 需求管理与跨团队协作：能够把风险问题抽象为产品需求，输出需求文档；高效对接算法/开发团队，推动模型训练、数据管道及系统功能落地；
● 持续跟踪AI产品上线后的效果，收集用户反馈，进行数据分析，不断优化产品功能和用户体验。","1、行业经验：5年以上内控、风险管理或数据分析相关工作经验，具备智能风控体系搭建经验的优先。
2、能力要求：
● AI Agent搭建能力： 核心要求！ 必须具备利用低代码平台（如Coze, Dify, Langflow, GPT Builder等）快速搭建AI Agent或AI应用的实际经验，请务必在简历中附上相关案例或作品集。
● 大模型应用理解： 深刻理解大语言模型（LLM）的能力边界，熟悉如何通过API调用主流大模型（如Qwen、deepseek等），并掌握提示词工程的基本技巧。
● 产品与场景思维： 具备敏锐的用户洞察力，能从复杂的业务流程中提炼出核心痛点和自动化机会，并转化为简洁、高效的Agent产品方案。
● 基础数据能力： 了解基本的数据处理逻辑，会使用SQL进行数据查询，能读懂Python代码用于与开发沟通即可，不要求精通编程。
3、其他：
能承受高强度的工作压力，有积极进取的精神及接受挑战的性格，目标感强，具有高度的责任感。
良好的文字表达、沟通及影响力；善于跨部门合作，具备较好的沟通协调能力。",1,蔡廷浩(闻卿),,2026 - 01 - 07,2026 - 04 - 07,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601072411b0d371514541b9254c6fc407c531&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-大模型工程链路测试开发专家/高级工程师-北京/杭州,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",硕士,三年以上,P6,"1. 负责大模型训练、推理、评测、部署等核心链路的质量保障体系建设。
2. 设计并实现自动化评测框架，支持多维度（如准确性、一致性、安全性、推理速度等）的模型能力评估。
3. 构建高质量、可扩展的评测数据集，制定科学、可量化的评测标准与指标体系。
4. 推动CI/CD流程在大模型工程中的落地，保障模型迭代的稳定性与可回溯性。
5. 主导Bad Case分析闭环机制，联动算法、工程与业务团队优化模型表现。","1. 计算机或相关专业硕士及以上学历，3年以上测试开发或质量保障经验，有大模型/AIGC项目经验者优先。
2. 精通Python/Java至少一种语言，熟悉主流测试框架（如PyTest、JUnit）及自动化工具链。
3. 熟悉大模型基本原理（如Transformer、Prompt Engineering、RLHF等），了解训练/推理/部署流程。
4. 具备数据驱动思维，能设计量化指标并基于数据驱动模型迭代与质量改进。
5. 具备良好的跨团队协作能力，能与算法、工程、产品高效对齐目标与方案。

加分项：
1. 有大模型自动化评测、COT（Chain-of-Thought）评测、对抗性测试等实践经验。
2. 参与过模型评测标准制定、开源评测基准（如HELM、MMLU）适配或自研评测体系构建。
3. 熟悉MLOps平台，有大模型CI/CD流水线建设经验。",5,马玥(早稻),,2026 - 01 - 08,2026 - 04 - 04,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260107e5267383a2c1418381d0dfb64a3351d3&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-百炼AI搜索技术专家/高级开发工程师(知识库&联网搜索方向)-北京/杭州,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",硕士,二年以上,P6,"1. 结合LLM技术，设计和优化RAG全链路的基础架构，提升系统的吞吐能力和响应速度。
2. 构建高性能，可扩展的分布式文件处理和索引构建系统，承载海量文档的知识库的索引和检索需求。
3. 规划和优化检索集群，通过合理的分片，资源分配等策略降低延迟提高吞吐，针对业务场景进行服务优化。
4. 建立完善的系统监控，日志分析和trace平台，能快速定位和解决系统问题。","1. 计算机/人工智能相关专业硕士及以上学历，2年以上工作经验，精通C++/Java/Go一门编程技术， 有大型分布式系统开发经验者优先。
2. 熟悉信息检索理论，具有高并发在线服务系统开发经验者优先。
3. 熟悉Linux系统脚本， 能够熟练使用Unix shell scripting, Perl或者Python。
4. 对数据结构和算法设计有较为深刻的理解；具有良好的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情。
5. 精通搜索推荐引擎在线/离线系统架构，熟悉索引、缓存、负载均衡、分布式等基本原理。
6. 有检索系统（包含关键字检索和向量检索）经验的优先。",5,马玥(早稻),,2026 - 01 - 08,2026 - 04 - 05,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260107d71d4bcde6e143859ff14063a15478f8&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-云原生基础平台研发（IaC方向）-北京/杭州,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",本科,三年以上,P7,"1. 负责云平台基础设施的架构设计与研发，包括云原生应用管理平台、应用发布与调度、资源管理与调度、云产品部署和热升级等能力的研发。
2. 负责云平台IaC（基础设施即代码）的设计与研发，将阿里云的架构、资源和部署形态抽象为IaC描述。并基于IaC，实现对阿里云新建站点/Region/AZ的部署、热升级、扩缩容和资源管理。
3. 负责Kubernetes组件以及Operator的设计与开发与维护。","1. 本科及以上学历，计算机相关专业。
2. 3年及以上的软件研发经历，独立负责过平台级系统或复杂子系统的设计和代码实现，具备软件开发流程（需求、设计、开发、持续集成、测试、文档、发布、更新维护等）的实践经验。
3. 有 Kubernetes、Serverless、Rancher、OCM、Etcd、Helm、Kubevela 等相关项目经验者优先，有开源项目贡献者优先。了解Kubernetes原理，熟悉社区常用技术，有Operator开发经验和Kubernetes组件维护经验优先。
4. 熟悉主流的云服务架构，了解虚拟化、容器、Serverless、可观测等基本原理和应用场景。有大规模分布式系统应用架构设计与研发经验，在云计算行业应用领域有相关经验者优先。
5. 精通 golang 或 C++ 语言，熟悉多线程机制，了解常用开源框架。熟悉 Linux 常用命令，同时掌握脚本类语言 shell 或 python 更佳。有全栈开发经验者优先。
6. 有良好的工程素养，有大型项目落地经验的优先。具备较强的沟通能力，能够主动的思考和承担压力，具备良好的团队协作能力。自驱力强，能够协同多个团队完成架构和研发的业务目标。",1,李佳(贤淑),,2026 - 01 - 07,2026 - 03 - 09,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260107ab72a4fd666a42038adb108c65d83441&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里云智能-百炼平台工程技术专家/高级工程师-北京/杭州,,云智能集团-阿里云智能,"中国-北京-北京,中国-浙江-杭州",硕士,三年以上,P6,"1. 设计并实现高性能AI原生网关。构建低延迟、高并发的API网关系统，支持多模态、多协议接入，为国内及全球客户提供灵活、安全、可扩展的流量接入方案，提供完整的数据面控制与可观测能力。
2. 打造智能推理调度与资源管理系统。设计并实现面向复杂分布式推理场景的请求调度和资源调度系统，结合动态负载特征与异构硬件资源，持续优化请求分发策略；建设Serverless化资源调度架构，实现资源的弹性伸缩与极致利用率提升。
3. 构建先进的MLOps平台能力。深度优化模型服务的CI/CD流程，推动算法研发到生产部署的自动化与标准化；实现模型版本管理、灰度发布、监控告警、性能分析等全生命周期管理能力，提升迭代效率与系统稳定性。","1. 计算机/人工智能相关专业硕士及以上学历，熟练掌握 C++/Python/Java/Golang至少一种语言，有很好的抽象能力。
2. 熟练掌握Linux/Posix操作系统下各种概念和原理，了解多线程，异步编程设计和高效的开发、调试方法。
3. 熟悉微服务架构、分布式系统设计，有网关、调度系统、k8s或云原生平台开发经验者优先。
4. 具备良好的抽象能力、工程判断力和跨团队协作意识，追求极致的系统性能与稳定性。

加分项
1. 熟悉开源推理引擎的架构和实现， 对推理引擎领域开源项目有持续关注。
2. 有过高性能计算领域文章发表等相关经验。",5,马玥(早稻),,2026 - 01 - 07,2026 - 04 - 06,招募中,https://aliyun-headhunter.alibaba-inc.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260107165850e5f1a94dadae35b0f7c152b3a4&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
